Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player_link
2013-14,20,OKC,NBA,C,81,1197,11.2,.541,.000,.735,14.1,17.1,15.6,4.9,1.7,3.9,22.5,11.7,,0.9,1.9,2.9,.114,,-3.1,0.9,-2.2,-0.1,https://www.basketball-reference.com/players/a/adamsst01.html
2014-15,21,OKC,NBA,C,70,1771,14.1,.549,.005,.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,,1.9,2.2,4.1,.111,,-1.5,0.2,-1.3,0.3,https://www.basketball-reference.com/players/a/adamsst01.html
2015-16,22,OKC,NBA,C,80,2014,15.5,.621,.000,.460,12.5,16.1,14.4,4.3,1.0,3.3,14.1,12.6,,4.2,2.3,6.5,.155,,0.0,0.2,0.2,1.1,https://www.basketball-reference.com/players/a/adamsst01.html
2016-17,23,OKC,NBA,C,80,2389,16.5,.589,.002,.392,13.0,15.4,14.2,5.4,1.8,2.6,16.0,16.2,,3.3,3.1,6.5,.130,,-0.2,0.0,-0.2,1.1,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,24,OKC,NBA,C,76,2487,20.6,.630,.003,.402,16.6,13.9,15.3,5.5,1.8,2.8,13.3,16.7,,6.7,3.0,9.7,.187,,1.7,-0.6,1.1,2.0,https://www.basketball-reference.com/players/a/adamsst01.html
2018-19,25,OKC,NBA,C,80,2669,18.5,.591,.002,.361,14.7,14.8,14.7,6.6,2.0,2.4,12.6,16.4,,5.1,4.0,9.1,.163,,0.7,0.4,1.1,2.1,https://www.basketball-reference.com/players/a/adamsst01.html
2019-20,26,OKC,NBA,C,63,1680,20.5,.604,.006,.421,14.0,24.0,19.2,13.2,1.5,3.4,14.2,17.3,,3.8,2.7,6.5,.185,,1.9,1.1,2.9,2.1,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,20,MIA,NBA,C,69,1368,15.7,.570,.021,.526,9.7,21.6,15.6,11.0,1.2,2.5,13.6,15.9,,2.3,1.9,4.2,.148,,-1.1,0.7,-0.4,0.6,https://www.basketball-reference.com/players/a/adebaba01.html
2018-19,21,MIA,NBA,C,82,1913,17.9,.623,.031,.465,9.2,24.0,16.6,14.2,1.8,3.0,17.1,15.8,,3.4,3.4,6.8,.171,,-0.4,2.2,1.8,1.8,https://www.basketball-reference.com/players/a/adebaba01.html
2019-20,22,MIA,NBA,PF,72,2417,20.3,.598,.018,.484,8.5,24.9,17.0,24.2,1.7,3.8,17.6,21.2,,4.6,3.9,8.5,.168,,1.4,2.0,3.4,3.3,https://www.basketball-reference.com/players/a/adebaba01.html
2018-19,21,CLE,NBA,SF,19,194,2.7,.424,.639,.111,1.6,9.6,5.4,3.4,0.3,1.8,13.7,9.9,,-0.2,0.0,-0.2,-0.054,,-6.0,-1.6,-7.5,-0.3,https://www.basketball-reference.com/players/a/adelde01.html
2010-11,24,GSW,NBA,PF,23,196,11.3,.457,.000,.352,13.0,20.7,16.8,7.3,1.0,1.9,12.6,16.1,,0.1,0.1,0.2,.051,,-3.3,-2.0,-5.3,-0.2,https://www.basketball-reference.com/players/a/adrieje01.html
2011-12,25,HOU,NBA,PF,8,63,11.2,.493,.000,.750,9.1,31.6,20.3,2.4,0.0,2.4,8.6,16.8,,0.1,0.1,0.1,.106,,-4.0,-0.2,-4.3,0.0,https://www.basketball-reference.com/players/a/adrieje01.html
2012-13,26,CHA,NBA,PF,52,713,13.4,.493,.012,.595,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,,0.5,0.4,1.0,.064,,-2.1,-0.9,-3.0,-0.2,https://www.basketball-reference.com/players/a/adrieje01.html
2013-14,27,TOT,NBA,PF,53,961,17.4,.553,.000,.433,11.8,24.8,18.2,6.8,1.3,3.0,10.6,17.3,,1.6,1.1,2.7,.134,,0.0,-0.9,-0.9,0.3,https://www.basketball-reference.com/players/a/adrieje01.html
