Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist., ,2P_% of FGA by Distance,0-3_% of FGA by Distance,3-10_% of FGA by Distance,10-16_% of FGA by Distance,16-3P_% of FGA by Distance,3P_% of FGA by Distance, ,2P_FG% by Distance,0-3_FG% by Distance,3-10_FG% by Distance,10-16_FG% by Distance,16-3P_FG% by Distance,3P_FG% by Distance, ,2P_% of FG Ast'd,3P_% of FG Ast'd, ,%FGA_Dunks,#_Dunks, ,%3PA_Corner 3s,3P%_Corner 3s, ,Att._Heaves,#_Heaves,Player_link
2015-16,22,OKC,NBA,C,80,2014,.613,2.2,,1.000,.721,.258,.016,.005,.000,,.613,.655,.500,.571,.500,,,.762,,,.277,101,,,,,0,0,https://www.basketball-reference.com/players/a/adamsst01.html
2016-17,23,OKC,NBA,C,80,2389,.571,3.7,,.998,.557,.388,.046,.005,.002,,.572,.655,.488,.367,.000,.000,,.668,,,.198,112,,.000,,,1,0,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,24,OKC,NBA,C,76,2487,.629,2.6,,.997,.708,.233,.052,.004,.003,,.631,.688,.494,.514,.000,.000,,.690,,,.242,150,,.000,,,2,0,https://www.basketball-reference.com/players/a/adamsst01.html
2018-19,25,OKC,NBA,C,80,2669,.595,3.5,,.998,.645,.294,.058,.000,.002,,.596,.667,.458,.511,,.000,,.642,,,.190,131,,.000,,,2,0,https://www.basketball-reference.com/players/a/adamsst01.html
2019-20,26,OKC,NBA,C,63,1680,.592,4.4,,.994,.513,.397,.082,.002,.006,,.594,.743,.416,.513,1.000,.333,,.670,1.000,,.176,78,,.333,.000,,1,1,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,20,MIA,NBA,C,69,1368,.512,4.3,,.979,.624,.232,.082,.041,.021,,.523,.642,.329,.321,.214,.000,,.701,,,.294,91,,.000,,,4,0,https://www.basketball-reference.com/players/a/adebaba01.html
2018-19,21,MIA,NBA,C,82,1913,.576,5.2,,.969,.572,.243,.121,.033,.031,,.588,.716,.415,.373,.438,.200,,.700,.667,,.257,117,,.267,.000,,2,0,https://www.basketball-reference.com/players/a/adebaba01.html
2019-20,22,MIA,NBA,PF,72,2417,.557,5.8,,.982,.481,.301,.144,.056,.018,,.564,.726,.445,.404,.227,.143,,.715,.500,,.219,157,,.571,.125,,1,0,https://www.basketball-reference.com/players/a/adebaba01.html
2018-19,21,CLE,NBA,SF,19,194,.306,19.2,,.361,.139,.083,.111,.028,.639,,.385,.400,.333,.250,1.000,.261,,.600,1.000,,.000,0,,.217,.200,,0,0,https://www.basketball-reference.com/players/a/adelde01.html
2010-11,24,GSW,NBA,PF,23,196,.426,4.3,,1.000,.574,.315,.093,.019,.000,,.426,.581,.235,.000,1.000,,,.696,,,.093,5,,,,,0,0,https://www.basketball-reference.com/players/a/adrieje01.html
2011-12,25,HOU,NBA,PF,8,63,.438,8.4,,1.000,.313,.313,.125,.250,.000,,.438,.600,.200,1.000,.250,,,.429,,,.125,1,,,,,0,0,https://www.basketball-reference.com/players/a/adrieje01.html
2012-13,26,CHA,NBA,PF,52,713,.429,9.0,,.988,.363,.208,.143,.274,.012,,.434,.508,.429,.417,.348,.000,,.639,,,.065,8,,.000,,,1,0,https://www.basketball-reference.com/players/a/adrieje01.html
