Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,Player_link
2008-09,23,POR,NBA,PF,6,237,18.6,.519,.038,.192,4.4,20.9,11.9,7.0,0.7,3.6,8.1,26.3,,0.2,0.2,0.3,.069,,1.5,-0.6,0.9,0.2,https://www.basketball-reference.com/players/a/aldrila01.html
2009-10,24,POR,NBA,PF,6,229,17.5,.507,.022,.473,5.1,14.6,9.7,11.1,1.7,4.4,8.9,25.8,,0.2,0.0,0.2,.043,,0.7,0.7,1.3,0.2,https://www.basketball-reference.com/players/a/aldrila01.html
2010-11,25,POR,NBA,PF,6,258,19.2,.498,.000,.209,7.9,13.5,10.8,6.4,1.8,3.5,6.7,26.6,,0.3,0.1,0.4,.073,,1.4,-0.5,1.0,0.2,https://www.basketball-reference.com/players/a/aldrila01.html
2013-14,28,POR,NBA,PF,11,441,21.0,.509,.012,.300,7.5,21.2,14.4,7.0,0.8,3.0,6.3,30.1,,0.6,0.3,0.9,.097,,2.7,-0.7,2.1,0.4,https://www.basketball-reference.com/players/a/aldrila01.html
2014-15,29,POR,NBA,PF,5,208,16.7,.426,.098,.321,10.8,18.4,14.6,8.4,0.5,3.8,5.9,29.9,,0.0,0.2,0.1,.032,,1.7,-1.4,0.4,0.1,https://www.basketball-reference.com/players/a/aldrila01.html
2015-16,30,SAS,NBA,PF,10,337,25.0,.579,.012,.272,8.0,19.7,14.2,5.4,0.6,3.3,5.5,27.7,,1.0,0.5,1.6,.223,,3.5,0.2,3.6,0.5,https://www.basketball-reference.com/players/a/aldrila01.html
2016-17,31,SAS,NBA,PF,16,537,15.2,.500,.058,.229,8.9,17.0,12.8,7.2,1.0,2.9,9.6,24.1,,0.2,0.4,0.6,.058,,-0.9,-0.8,-1.7,0.0,https://www.basketball-reference.com/players/a/aldrila01.html
2017-18,32,SAS,NBA,C,5,177,24.8,.599,.063,.525,7.8,22.6,14.7,13.2,0.9,1.0,8.4,27.8,,0.6,0.1,0.7,.189,,5.6,0.1,5.7,0.3,https://www.basketball-reference.com/players/a/aldrila01.html
2018-19,33,SAS,NBA,C,7,244,21.8,.517,.091,.273,8.4,21.1,14.8,13.1,1.1,2.3,4.9,27.0,,0.5,0.2,0.7,.130,,2.5,-0.2,2.3,0.3,https://www.basketball-reference.com/players/a/aldrila01.html
2018-19,23,UTA,NBA,SG,2,14,10.5,.446,.429,1.000,0.0,7.8,3.8,0.0,0.0,0.0,0.0,30.6,,0.0,0.0,0.0,.003,,-1.6,-3.5,-5.1,0.0,https://www.basketball-reference.com/players/a/allengr01.html
2018-19,20,BRK,NBA,C,5,110,22.5,.674,.000,.625,13.0,19.3,15.9,15.9,1.3,2.0,16.4,18.0,,0.4,0.0,0.4,.182,,2.0,1.4,3.4,0.2,https://www.basketball-reference.com/players/a/allenja01.html
2019-20,21,BRK,NBA,C,4,132,17.1,.660,.000,.667,12.1,34.5,22.5,10.5,0.7,5.1,26.2,13.1,,0.2,0.1,0.2,.078,,-0.3,0.2,-0.1,0.1,https://www.basketball-reference.com/players/a/allenja01.html
2011-12,22,PHI,NBA,PF,12,236,17.1,.566,.000,.197,9.5,19.1,14.1,2.4,2.3,3.5,7.0,14.4,,0.4,0.5,0.9,.191,,0.0,2.6,2.6,0.3,https://www.basketball-reference.com/players/a/allenla01.html
