Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link, ,Trp Dbl
2017-18,32,SAS,NBA,C,5,5,177,37,80,.463,3,5,.600,34,75,.453,.481,41,42,.976,13,33,46,12,3,2,9,9,118,https://www.basketball-reference.com/players/a/aldrila01.html,,
2018-19,33,SAS,NBA,C,7,7,244,55,121,.455,3,11,.273,52,110,.473,.467,27,33,.818,19,48,67,19,5,7,7,21,140,https://www.basketball-reference.com/players/a/aldrila01.html,,
2018-19,23,UTA,NBA,SG,2,0,14,2,7,.286,0,3,.000,2,4,.500,.286,5,7,.714,0,1,1,0,0,0,0,0,9,https://www.basketball-reference.com/players/a/allengr01.html,,
2018-19,20,BRK,NBA,C,5,5,110,19,32,.594,0,0,,19,32,.594,.594,17,20,.850,15,19,34,11,3,3,8,13,55,https://www.basketball-reference.com/players/a/allenja01.html,,
2019-20,21,BRK,NBA,C,4,4,132,14,24,.583,0,0,,14,24,.583,.583,13,16,.813,17,42,59,9,2,7,11,7,41,https://www.basketball-reference.com/players/a/allenja01.html,,
2011-12,22,PHI,NBA,PF,12,1,236,34,61,.557,0,0,,34,61,.557,.557,7,12,.583,21,38,59,3,10,11,5,30,75,https://www.basketball-reference.com/players/a/allenla01.html,,
2013-14,24,IND,NBA,PF,4,0,15,2,4,.500,0,0,,2,4,.500,.500,0,0,,1,4,5,1,0,0,0,1,4,https://www.basketball-reference.com/players/a/allenla01.html,,
2015-16,26,IND,NBA,PF,6,3,51,3,10,.300,0,0,,3,10,.300,.300,0,0,,4,10,14,2,1,1,1,2,6,https://www.basketball-reference.com/players/a/allenla01.html,,
2016-17,27,IND,NBA,PF,3,0,11,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,1,0,0,https://www.basketball-reference.com/players/a/allenla01.html,,
2004-05,23,BOS,NBA,SG,7,3,90,8,18,.444,0,0,,8,18,.444,.444,3,7,.429,4,8,12,2,3,2,5,17,19,https://www.basketball-reference.com/players/a/allento01.html,,
2007-08,26,BOS,NBA,SG,15,0,65,9,16,.563,0,1,.000,9,15,.600,.563,2,5,.400,1,2,3,3,2,0,1,5,20,https://www.basketball-reference.com/players/a/allento01.html,,
2008-09,27,BOS,NBA,SG,10,0,60,4,8,.500,0,0,,4,8,.500,.500,1,1,1.000,1,8,9,3,2,0,1,4,9,https://www.basketball-reference.com/players/a/allento01.html,,
2009-10,28,BOS,NBA,SG,24,0,391,47,98,.480,0,5,.000,47,93,.505,.480,28,36,.778,13,28,41,17,25,14,23,58,122,https://www.basketball-reference.com/players/a/allento01.html,,
2010-11,29,MEM,NBA,SG,13,13,350,43,101,.426,1,7,.143,42,94,.447,.431,27,41,.659,15,23,38,20,25,5,24,43,114,https://www.basketball-reference.com/players/a/allento01.html,,
2011-12,30,MEM,NBA,SG,7,7,170,18,45,.400,0,5,.000,18,40,.450,.400,12,17,.706,8,14,22,5,9,7,10,21,48,https://www.basketball-reference.com/players/a/allento01.html,,
2012-13,31,MEM,NBA,SG,15,15,422,54,125,.432,2,8,.250,52,117,.444,.440,44,58,.759,37,54,91,27,30,5,19,48,154,https://www.basketball-reference.com/players/a/allento01.html,,
2013-14,32,MEM,NBA,SG,7,1,230,35,72,.486,0,7,.000,35,65,.538,.486,16,21,.762,23,31,54,10,12,1,12,23,86,https://www.basketball-reference.com/players/a/allento01.html,,
2014-15,33,MEM,NBA,SG,10,9,279,28,57,.491,1,7,.143,27,50,.540,.500,9,12,.750,14,38,52,15,24,11,13,27,66,https://www.basketball-reference.com/players/a/allento01.html,,
2015-16,34,MEM,NBA,SG,4,2,94,10,33,.303,1,7,.143,9,26,.346,.318,9,13,.692,6,5,11,3,5,2,6,11,30,https://www.basketball-reference.com/players/a/allento01.html,,
2014-15,24,DAL,NBA,SF,5,2,150,17,31,.548,7,11,.636,10,20,.500,.661,15,19,.789,14,22,36,6,10,8,6,15,56,https://www.basketball-reference.com/players/a/aminual01.html,,
2015-16,25,POR,NBA,SF,11,11,372,56,128,.438,28,70,.400,28,58,.483,.547,21,29,.724,23,72,95,20,8,10,21,31,161,https://www.basketball-reference.com/players/a/aminual01.html,,
2016-17,26,POR,NBA,PF,4,0,113,17,37,.459,7,17,.412,10,20,.500,.554,7,11,.636,5,21,26,4,3,4,9,9,48,https://www.basketball-reference.com/players/a/aminual01.html,,
2017-18,27,POR,NBA,PF,4,4,131,27,52,.519,13,30,.433,14,22,.636,.644,2,2,1.000,12,24,36,5,4,2,6,8,69,https://www.basketball-reference.com/players/a/aminual01.html,,
2018-19,28,POR,NBA,PF,16,16,399,38,109,.349,15,51,.294,23,58,.397,.417,27,36,.750,29,71,100,21,9,10,16,34,118,https://www.basketball-reference.com/players/a/aminual01.html,,
2007-08,25,PHI,NBA,PF,2,0,10,2,4,.500,0,0,,2,4,.500,.500,1,2,.500,5,2,7,0,0,0,0,2,5,https://www.basketball-reference.com/players/a/amundlo01.html,,
2009-10,27,PHO,NBA,PF,16,0,194,19,36,.528,0,0,,19,36,.528,.528,9,21,.429,30,26,56,1,6,7,6,31,47,https://www.basketball-reference.com/players/a/amundlo01.html,,
2011-12,29,IND,NBA,PF,11,0,94,12,23,.522,0,0,,12,23,.522,.522,3,6,.500,6,17,23,2,2,5,4,16,27,https://www.basketball-reference.com/players/a/amundlo01.html,,
2013-14,31,BRK,NBA,SF,12,2,261,25,62,.403,9,31,.290,16,31,.516,.476,12,18,.667,10,22,32,15,10,0,10,32,71,https://www.basketball-reference.com/players/a/anderal01.html,,
2014-15,32,BRK,NBA,SG,6,0,142,25,41,.610,10,16,.625,15,25,.600,.732,6,9,.667,2,19,21,7,4,1,8,9,66,https://www.basketball-reference.com/players/a/anderal01.html,,
2011-12,22,SAS,NBA,SG,8,0,31,4,9,.444,2,4,.500,2,5,.400,.556,1,2,.500,0,5,5,3,1,0,0,1,11,https://www.basketball-reference.com/players/a/anderja01.html,,
2012-13,23,HOU,NBA,SG,2,0,18,1,5,.200,0,3,.000,1,2,.500,.200,0,0,,1,3,4,0,0,0,0,2,2,https://www.basketball-reference.com/players/a/anderja01.html,,
2015-16,22,DAL,NBA,SF,5,1,95,17,37,.459,4,13,.308,13,24,.542,.514,9,14,.643,9,11,20,7,4,3,5,12,47,https://www.basketball-reference.com/players/a/anderju01.html,,
2017-18,24,PHI,NBA,SF,7,0,33,3,8,.375,2,7,.286,1,1,1.000,.500,0,0,,1,8,9,0,1,0,2,8,8,https://www.basketball-reference.com/players/a/anderju01.html,,
2019-20,26,BRK,NBA,SG,3,0,28,5,12,.417,5,11,.455,0,1,.000,.625,4,4,1.000,0,8,8,3,0,1,2,2,19,https://www.basketball-reference.com/players/a/anderju01.html,,
2015-16,22,SAS,NBA,SF,10,0,129,8,25,.320,1,3,.333,7,22,.318,.340,6,7,.857,2,22,24,7,6,3,4,11,23,https://www.basketball-reference.com/players/a/anderky01.html,,
2016-17,23,SAS,NBA,SF,15,1,195,36,64,.563,3,10,.300,33,54,.611,.586,8,11,.727,12,34,46,25,10,2,7,8,83,https://www.basketball-reference.com/players/a/anderky01.html,,
2017-18,24,SAS,NBA,SF,5,1,73,12,20,.600,0,4,.000,12,16,.750,.600,3,4,.750,5,8,13,3,6,1,3,10,27,https://www.basketball-reference.com/players/a/anderky01.html,,
2009-10,21,ORL,NBA,PF,9,0,89,9,29,.310,4,14,.286,5,15,.333,.379,1,1,1.000,8,23,31,3,2,2,5,12,23,https://www.basketball-reference.com/players/a/anderry01.html,,
2010-11,22,ORL,NBA,PF,6,0,147,8,30,.267,6,20,.300,2,10,.200,.367,6,6,1.000,10,17,27,3,5,1,1,16,28,https://www.basketball-reference.com/players/a/anderry01.html,,
2011-12,23,ORL,NBA,PF,5,5,172,15,44,.341,12,30,.400,3,14,.214,.477,6,7,.857,9,14,23,4,3,2,9,22,48,https://www.basketball-reference.com/players/a/anderry01.html,,
2014-15,26,NOP,NBA,PF,4,0,95,16,36,.444,5,12,.417,11,24,.458,.514,6,6,1.000,7,10,17,9,0,2,4,12,43,https://www.basketball-reference.com/players/a/anderry01.html,,
2016-17,28,HOU,NBA,PF,11,9,336,36,92,.391,17,60,.283,19,32,.594,.484,14,16,.875,15,42,57,7,4,2,9,24,103,https://www.basketball-reference.com/players/a/anderry01.html,,
2017-18,29,HOU,NBA,PF,11,0,95,7,20,.350,5,15,.333,2,5,.400,.475,0,0,,4,9,13,6,3,1,3,10,19,https://www.basketball-reference.com/players/a/anderry01.html,,
2014-15,20,MIL,NBA,SG,6,6,201,26,71,.366,0,1,.000,26,70,.371,.366,17,23,.739,12,30,42,16,3,9,11,18,69,https://www.basketball-reference.com/players/a/antetgi01.html,,
2016-17,22,MIL,NBA,SF,6,6,243,60,112,.536,4,10,.400,56,102,.549,.554,25,46,.543,10,47,57,24,13,10,20,21,149,https://www.basketball-reference.com/players/a/antetgi01.html,,
2017-18,23,MIL,NBA,PF,7,7,280,69,121,.570,4,14,.286,65,107,.607,.587,38,55,.691,8,59,67,44,10,6,17,28,180,https://www.basketball-reference.com/players/a/antetgi01.html,,
2018-19,24,MIL,NBA,PF,15,15,514,129,262,.492,18,55,.327,111,207,.536,.527,107,168,.637,37,147,184,73,17,30,50,48,383,https://www.basketball-reference.com/players/a/antetgi01.html,,
2019-20,25,MIL,NBA,PF,9,9,277,90,161,.559,13,40,.325,77,121,.636,.599,47,81,.580,27,97,124,51,6,8,30,31,240,https://www.basketball-reference.com/players/a/antetgi01.html,,
2003-04,19,DEN,NBA,SF,4,4,143,21,64,.328,2,11,.182,19,53,.358,.344,16,20,.800,7,26,33,11,5,0,17,11,60,https://www.basketball-reference.com/players/a/anthoca01.html,,
2004-05,20,DEN,NBA,SF,5,5,180,35,83,.422,0,1,.000,35,82,.427,.422,26,32,.813,14,13,27,10,3,1,13,20,96,https://www.basketball-reference.com/players/a/anthoca01.html,,
2005-06,21,DEN,NBA,SF,5,5,193,33,99,.333,0,4,.000,33,95,.347,.333,39,52,.750,12,21,33,14,4,1,15,20,105,https://www.basketball-reference.com/players/a/anthoca01.html,,
2006-07,22,DEN,NBA,SF,5,5,210,47,98,.480,9,18,.500,38,80,.475,.526,31,39,.795,18,25,43,6,5,0,19,12,134,https://www.basketball-reference.com/players/a/anthoca01.html,,
2007-08,23,DEN,NBA,SF,4,4,146,32,88,.364,2,8,.250,30,80,.375,.375,24,29,.828,19,19,38,8,2,1,12,17,90,https://www.basketball-reference.com/players/a/anthoca01.html,,
2008-09,24,DEN,NBA,SF,16,16,612,146,322,.453,24,66,.364,122,256,.477,.491,119,144,.826,26,67,93,65,28,10,37,60,435,https://www.basketball-reference.com/players/a/anthoca01.html,,
2009-10,25,DEN,NBA,SF,6,6,254,64,138,.464,6,19,.316,58,119,.487,.486,50,57,.877,14,37,51,20,12,3,21,26,184,https://www.basketball-reference.com/players/a/anthoca01.html,,
2010-11,26,NYK,NBA,SF,4,4,156,33,88,.375,9,26,.346,24,62,.387,.426,29,34,.853,13,28,41,19,5,3,13,16,104,https://www.basketball-reference.com/players/a/anthoca01.html,,
2011-12,27,NYK,NBA,SF,5,5,204,52,124,.419,4,18,.222,48,106,.453,.435,31,41,.756,13,28,41,11,6,1,14,21,139,https://www.basketball-reference.com/players/a/anthoca01.html,,
2012-13,28,NYK,NBA,PF,12,12,481,126,310,.406,17,57,.298,109,253,.431,.434,77,87,.885,11,68,79,19,13,2,31,46,346,https://www.basketball-reference.com/players/a/anthoca01.html,,
2017-18,33,OKC,NBA,PF,6,6,194,27,72,.375,6,28,.214,21,44,.477,.417,11,15,.733,3,31,34,2,10,4,6,14,71,https://www.basketball-reference.com/players/a/anthoca01.html,,
2019-20,35,POR,NBA,PF,5,5,176,28,68,.412,8,19,.421,20,49,.408,.471,12,14,.857,1,24,25,10,5,2,13,20,76,https://www.basketball-reference.com/players/a/anthoca01.html,,
2008-09,26,MIA,NBA,C,6,2,88,4,5,.800,0,0,,4,5,.800,.800,2,2,1.000,9,10,19,2,0,7,1,9,10,https://www.basketball-reference.com/players/a/anthojo01.html,,
2009-10,27,MIA,NBA,C,5,0,79,5,7,.714,0,0,,5,7,.714,.714,3,4,.750,6,3,9,1,2,5,1,9,13,https://www.basketball-reference.com/players/a/anthojo01.html,,
2010-11,28,MIA,NBA,C,21,13,575,18,49,.367,0,0,,18,49,.367,.367,22,31,.710,35,62,97,10,8,38,13,54,58,https://www.basketball-reference.com/players/a/anthojo01.html,,
2011-12,29,MIA,NBA,C,17,1,329,17,29,.586,0,0,,17,29,.586,.586,20,25,.800,22,33,55,2,5,16,8,41,54,https://www.basketball-reference.com/players/a/anthojo01.html,,
2012-13,30,MIA,NBA,C,14,0,71,3,10,.300,0,0,,3,10,.300,.300,0,0,,10,11,21,0,2,4,3,13,6,https://www.basketball-reference.com/players/a/anthojo01.html,,
2016-17,34,SAS,NBA,C,3,0,15,3,4,.750,0,0,,3,4,.750,.750,0,1,.000,2,2,4,0,0,2,1,2,6,https://www.basketball-reference.com/players/a/anthojo01.html,,
2013-14,31,ATL,NBA,C,7,7,170,7,42,.167,3,25,.120,4,17,.235,.202,5,8,.625,10,17,27,5,5,3,8,26,22,https://www.basketball-reference.com/players/a/anticpe01.html,,
2014-15,32,ATL,NBA,C,15,1,199,16,50,.320,11,32,.344,5,18,.278,.430,20,25,.800,9,34,43,4,2,3,5,38,63,https://www.basketball-reference.com/players/a/anticpe01.html,,
2017-18,20,TOR,NBA,SF,10,10,238,29,52,.558,13,29,.448,16,23,.696,.683,8,11,.727,9,12,21,7,6,4,6,23,79,https://www.basketball-reference.com/players/a/anunoog01.html,,
2019-20,22,TOR,NBA,SF,11,11,393,40,88,.455,17,41,.415,23,47,.489,.551,18,28,.643,26,50,76,13,11,13,16,27,115,https://www.basketball-reference.com/players/a/anunoog01.html,,
2006-07,26,UTA,NBA,C,5,0,28,3,8,.375,0,0,,3,8,.375,.375,5,12,.417,3,8,11,1,1,0,0,8,11,https://www.basketball-reference.com/players/a/araujra01.html,,
2006-07,21,ORL,NBA,SG,4,0,47,5,16,.313,0,0,,5,16,.313,.313,1,4,.250,5,4,9,5,1,0,4,9,11,https://www.basketball-reference.com/players/a/arizatr01.html,,
2007-08,22,LAL,NBA,SF,8,0,45,7,12,.583,1,4,.250,6,8,.750,.625,2,4,.500,3,8,11,1,1,1,1,7,17,https://www.basketball-reference.com/players/a/arizatr01.html,,
2008-09,23,LAL,NBA,SF,23,23,722,92,185,.497,40,84,.476,52,101,.515,.605,36,64,.563,22,75,97,54,36,10,38,73,260,https://www.basketball-reference.com/players/a/arizatr01.html,,
2010-11,25,NOH,NBA,SF,6,6,241,35,85,.412,7,21,.333,28,64,.438,.453,16,22,.727,7,32,39,20,8,3,7,16,93,https://www.basketball-reference.com/players/a/arizatr01.html,,
