Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link, ,Trp Dbl
2008-09,26,MIA,NBA,SF,5,0,21,1,3,.333,0,1,.000,1,2,.500,.333,0,2,.000,0,5,5,0,1,0,0,2,2,https://www.basketball-reference.com/players/d/diawaya01.html,,
2009-10,27,POR,NBA,PG,2,0,7,0,0,,0,0,,0,0,,,0,0,,0,0,0,2,0,0,0,0,0,https://www.basketball-reference.com/players/d/dienetr01.html,,
2017-18,28,MIN,NBA,C,5,0,70,6,18,.333,2,5,.400,4,13,.308,.389,3,4,.750,3,15,18,4,2,4,1,6,17,https://www.basketball-reference.com/players/d/dienggo01.html,,
2015-16,22,DET,NBA,PG,1,0,2,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,1,0,0,0,0,2,https://www.basketball-reference.com/players/d/dinwisp01.html,,
2018-19,25,BRK,NBA,PG,5,0,131,27,62,.435,9,24,.375,18,38,.474,.508,10,14,.714,4,9,13,8,2,0,8,10,73,https://www.basketball-reference.com/players/d/dinwisp01.html,,
2019-20,20,DAL,NBA,PG,6,6,215,64,128,.500,16,44,.364,48,84,.571,.563,42,64,.656,4,55,59,52,7,3,31,17,186,https://www.basketball-reference.com/players/d/doncilu01.html,,2
2014-15,31,HOU,NBA,PF,6,0,13,0,2,.000,0,0,,0,2,.000,.000,1,2,.500,1,3,4,2,0,0,1,2,1,https://www.basketball-reference.com/players/d/dorsejo01.html,,
2019-20,20,OKC,NBA,SF,6,6,175,27,76,.355,13,50,.260,14,26,.538,.441,8,15,.533,5,17,22,6,2,6,15,25,75,https://www.basketball-reference.com/players/d/dortlu01.html,,
2010-11,24,NYK,NBA,SG,4,3,112,15,41,.366,7,18,.389,8,23,.348,.451,6,6,1.000,2,11,13,9,2,0,4,12,43,https://www.basketball-reference.com/players/d/douglto01.html,,
2011-12,25,NYK,NBA,PG,1,0,8,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,1,0,0,0,0,2,https://www.basketball-reference.com/players/d/douglto01.html,,
2013-14,27,MIA,NBA,PG,10,0,29,3,9,.333,3,6,.500,0,3,.000,.500,1,2,.500,1,3,4,5,0,0,1,3,10,https://www.basketball-reference.com/players/d/douglto01.html,,
2013-14,27,CHA,NBA,SF,4,0,70,11,16,.688,4,8,.500,7,8,.875,.813,12,14,.857,2,6,8,2,0,0,4,11,38,https://www.basketball-reference.com/players/d/douglch01.html,,
2019-20,23,DEN,NBA,SG,12,0,125,14,33,.424,2,8,.250,12,25,.480,.455,8,14,.571,2,16,18,12,2,2,8,13,38,https://www.basketball-reference.com/players/d/doziepj01.html,,
2009-10,23,PHO,NBA,PG,16,0,237,43,100,.430,13,40,.325,30,60,.500,.495,23,31,.742,10,19,29,36,4,1,16,18,122,https://www.basketball-reference.com/players/d/dragigo01.html,,
2015-16,29,MIA,NBA,PG,14,14,472,91,206,.442,16,46,.348,75,160,.469,.481,33,43,.767,11,58,69,54,6,3,31,46,231,https://www.basketball-reference.com/players/d/dragigo01.html,,
2017-18,31,MIA,NBA,PG,5,5,156,35,75,.467,8,21,.381,27,54,.500,.520,15,22,.682,3,10,13,23,5,0,15,15,93,https://www.basketball-reference.com/players/d/dragigo01.html,,
2019-20,33,MIA,NBA,PG,17,16,553,119,268,.444,37,107,.346,82,161,.509,.513,49,61,.803,13,56,69,75,17,2,39,50,324,https://www.basketball-reference.com/players/d/dragigo01.html,,
2015-16,22,DET,NBA,C,4,4,131,28,54,.519,0,1,.000,28,53,.528,.519,11,34,.324,12,24,36,0,1,6,4,8,67,https://www.basketball-reference.com/players/d/drumman01.html,,
2018-19,25,DET,NBA,C,4,4,127,24,54,.444,0,1,.000,24,53,.453,.444,9,21,.429,20,32,52,9,6,5,11,17,57,https://www.basketball-reference.com/players/d/drumman01.html,,
2009-10,24,PHO,NBA,SF,16,0,377,40,86,.465,25,59,.424,15,27,.556,.610,17,28,.607,15,45,60,28,18,6,9,37,122,https://www.basketball-reference.com/players/d/dudleja01.html,,
2013-14,28,LAC,NBA,SF,7,0,45,3,11,.273,3,6,.500,0,5,.000,.409,0,0,,0,6,6,2,1,0,0,5,9,https://www.basketball-reference.com/players/d/dudleja01.html,,
2014-15,29,MIL,NBA,SG,6,0,110,14,30,.467,8,14,.571,6,16,.375,.600,4,7,.571,3,8,11,8,12,2,5,12,40,https://www.basketball-reference.com/players/d/dudleja01.html,,
2018-19,33,BRK,NBA,PF,4,2,82,3,11,.273,2,9,.222,1,2,.500,.364,4,4,1.000,0,2,2,11,3,1,4,10,12,https://www.basketball-reference.com/players/d/dudleja01.html,,
2019-20,34,LAL,NBA,PF,9,0,31,0,4,.000,0,3,.000,0,1,.000,.000,0,0,,0,2,2,0,4,1,2,2,0,https://www.basketball-reference.com/players/d/dudleja01.html,,
2004-05,22,CHI,NBA,PG,6,5,159,11,37,.297,6,22,.273,5,15,.333,.378,9,11,.818,6,20,26,21,2,0,12,6,37,https://www.basketball-reference.com/players/d/duhonch01.html,,
2005-06,23,CHI,NBA,PG,6,0,131,9,25,.360,7,16,.438,2,9,.222,.500,5,6,.833,1,15,16,13,2,0,5,13,30,https://www.basketball-reference.com/players/d/duhonch01.html,,
2006-07,24,CHI,NBA,PG,9,0,172,9,31,.290,6,19,.316,3,12,.250,.387,8,10,.800,3,13,16,21,3,1,7,12,32,https://www.basketball-reference.com/players/d/duhonch01.html,,
2010-11,28,ORL,NBA,PG,1,0,4,1,2,.500,1,2,.500,0,0,,.750,2,2,1.000,0,0,0,0,0,0,0,0,5,https://www.basketball-reference.com/players/d/duhonch01.html,,
2011-12,29,ORL,NBA,PG,5,0,61,1,5,.200,1,3,.333,0,2,.000,.300,0,2,.000,0,7,7,9,5,1,7,5,3,https://www.basketball-reference.com/players/d/duhonch01.html,,
2012-13,30,LAL,NBA,PG,2,0,68,4,11,.364,3,8,.375,1,3,.333,.500,0,0,,1,2,3,7,2,1,5,4,11,https://www.basketball-reference.com/players/d/duhonch01.html,,
2004-05,24,DET,NBA,SF,14,0,38,2,7,.286,0,0,,2,7,.286,.286,0,0,,2,4,6,0,0,0,1,6,4,https://www.basketball-reference.com/players/d/duprero01.html,,
2009-10,21,OKC,NBA,SF,6,6,231,43,123,.350,10,35,.286,33,88,.375,.390,54,62,.871,8,38,46,14,3,8,22,17,150,https://www.basketball-reference.com/players/d/duranke01.html,,0
2010-11,22,OKC,NBA,SF,17,17,722,155,345,.449,37,109,.339,118,236,.500,.503,140,167,.838,18,121,139,48,16,19,42,52,487,https://www.basketball-reference.com/players/d/duranke01.html,,0
2011-12,23,OKC,NBA,SF,20,20,837,198,383,.517,41,110,.373,157,273,.575,.570,133,154,.864,13,135,148,74,29,24,63,51,570,https://www.basketball-reference.com/players/d/duranke01.html,,0
2012-13,24,OKC,NBA,SF,11,11,485,112,246,.455,22,70,.314,90,176,.511,.500,93,112,.830,7,92,99,69,14,12,43,26,339,https://www.basketball-reference.com/players/d/duranke01.html,,0
2013-14,25,OKC,NBA,SF,19,19,815,194,422,.460,43,125,.344,151,297,.508,.511,132,163,.810,25,145,170,75,19,25,72,41,563,https://www.basketball-reference.com/players/d/duranke01.html,,0
2015-16,27,OKC,NBA,SF,18,18,726,175,407,.430,31,110,.282,144,297,.485,.468,130,146,.890,13,115,128,60,18,18,65,37,511,https://www.basketball-reference.com/players/d/duranke01.html,,0
2016-17,28,GSW,NBA,PF,15,15,533,149,268,.556,38,86,.442,111,182,.610,.627,92,103,.893,16,103,119,64,12,20,38,39,428,https://www.basketball-reference.com/players/d/duranke01.html,,0
2017-18,29,GSW,NBA,SF,21,21,807,212,435,.487,47,138,.341,165,297,.556,.541,137,152,.901,13,150,163,99,15,25,50,43,608,https://www.basketball-reference.com/players/d/duranke01.html,,1
2018-19,30,GSW,NBA,SF,12,12,442,125,243,.514,35,80,.438,90,163,.552,.586,102,113,.903,1,58,59,54,13,12,43,38,387,https://www.basketball-reference.com/players/d/duranke01.html,,0
2011-12,22,LAL,NBA,SG,9,6,126,16,39,.410,0,3,.000,16,36,.444,.410,5,8,.625,7,13,20,6,3,7,2,13,37,https://www.basketball-reference.com/players/e/ebankde01.html,,
2019-20,21,BOS,NBA,SG,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,https://www.basketball-reference.com/players/e/edwarca01.html,,
2013-14,26,DAL,NBA,SG,2,0,14,2,6,.333,2,6,.333,0,0,,.500,2,2,1.000,0,2,2,2,0,0,2,1,8,https://www.basketball-reference.com/players/e/ellinwa01.html,,
2017-18,30,MIA,NBA,SG,5,0,101,12,35,.343,12,30,.400,0,5,.000,.514,3,3,1.000,1,7,8,3,2,2,3,9,39,https://www.basketball-reference.com/players/e/ellinwa01.html,,
2018-19,31,DET,NBA,SG,4,4,131,11,35,.314,7,22,.318,4,13,.308,.414,2,2,1.000,3,12,15,5,3,0,2,4,31,https://www.basketball-reference.com/players/e/ellinwa01.html,,
2006-07,21,GSW,NBA,SG,11,6,238,32,82,.390,1,9,.111,31,73,.425,.396,23,28,.821,8,17,25,10,10,2,20,23,88,https://www.basketball-reference.com/players/e/ellismo01.html,,
2012-13,27,MIL,NBA,SG,4,4,152,24,55,.436,3,19,.158,21,36,.583,.464,6,16,.375,2,11,13,22,10,1,14,8,57,https://www.basketball-reference.com/players/e/ellismo01.html,,
2013-14,28,DAL,NBA,SG,7,7,249,52,127,.409,12,34,.353,40,93,.430,.457,27,31,.871,6,11,17,20,9,1,15,19,143,https://www.basketball-reference.com/players/e/ellismo01.html,,
2014-15,29,DAL,NBA,SG,5,5,197,52,111,.468,11,30,.367,41,81,.506,.518,15,20,.750,4,12,16,26,10,3,16,18,130,https://www.basketball-reference.com/players/e/ellismo01.html,,
2015-16,30,IND,NBA,SG,7,7,225,33,76,.434,7,21,.333,26,55,.473,.480,8,10,.800,4,23,27,30,15,0,17,17,81,https://www.basketball-reference.com/players/e/ellismo01.html,,
2016-17,31,IND,NBA,SG,4,2,76,8,20,.400,2,8,.250,6,12,.500,.450,4,5,.800,1,7,8,5,2,1,4,5,22,https://www.basketball-reference.com/players/e/ellismo01.html,,
2003-04,27,DEN,NBA,C,4,0,60,7,12,.583,0,0,,7,12,.583,.583,1,2,.500,1,8,9,2,2,1,3,14,15,https://www.basketball-reference.com/players/e/elsonfr01.html,,
2004-05,28,DEN,NBA,C,1,0,6,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,3,3,0,0,0,0,0,0,https://www.basketball-reference.com/players/e/elsonfr01.html,,
2005-06,29,DEN,NBA,C,5,2,75,3,5,.600,0,0,,3,5,.600,.600,0,0,,5,6,11,2,4,0,3,13,6,https://www.basketball-reference.com/players/e/elsonfr01.html,,
2006-07,30,SAS,NBA,C,20,8,230,26,44,.591,0,1,.000,26,43,.605,.591,14,20,.700,22,40,62,2,8,6,19,41,66,https://www.basketball-reference.com/players/e/elsonfr01.html,,
2017-18,23,PHI,NBA,C,8,8,278,60,138,.435,8,29,.276,52,109,.477,.464,43,61,.705,23,78,101,24,7,14,29,31,171,https://www.basketball-reference.com/players/e/embiijo01.html,,
2018-19,24,PHI,NBA,C,11,11,334,68,159,.428,12,39,.308,56,120,.467,.465,74,90,.822,21,94,115,37,8,25,40,34,222,https://www.basketball-reference.com/players/e/embiijo01.html,,
2019-20,25,PHI,NBA,C,4,4,145,34,74,.459,4,16,.250,30,58,.517,.486,48,59,.814,11,38,49,5,6,5,15,18,120,https://www.basketball-reference.com/players/e/embiijo01.html,,
2016-17,26,MEM,NBA,SF,6,4,159,16,38,.421,6,19,.316,10,19,.526,.500,12,14,.857,8,17,25,7,5,2,7,20,50,https://www.basketball-reference.com/players/e/ennisja01.html,,
2018-19,28,PHI,NBA,SF,11,0,232,31,64,.484,9,32,.281,22,32,.688,.555,12,19,.632,16,26,42,12,4,3,10,31,83,https://www.basketball-reference.com/players/e/ennisja01.html,,
2019-20,29,ORL,NBA,SG,5,5,119,12,35,.343,4,16,.250,8,19,.421,.400,7,9,.778,6,23,29,6,5,2,6,19,35,https://www.basketball-reference.com/players/e/ennisja01.html,,
2014-15,20,MIL,NBA,PG,1,0,16,2,9,.222,1,5,.200,1,4,.250,.278,0,0,,3,1,4,3,0,0,0,1,5,https://www.basketball-reference.com/players/e/ennisty01.html,,
2018-19,21,GSW,NBA,SG,7,0,18,2,5,.400,1,2,.500,1,3,.333,.500,0,0,,0,1,1,1,0,0,2,1,5,https://www.basketball-reference.com/players/e/evansja02.html,,
2011-12,24,UTA,NBA,SF,2,0,7,0,1,.000,0,0,,0,1,.000,.000,2,2,1.000,0,3,3,1,1,0,0,1,2,https://www.basketball-reference.com/players/e/evansje01.html,,
2014-15,25,NOP,NBA,SG,4,4,125,14,43,.326,2,11,.182,12,32,.375,.349,10,17,.588,3,17,20,20,5,1,6,10,40,https://www.basketball-reference.com/players/e/evansty01.html,,
2018-19,29,IND,NBA,SG,4,0,84,21,48,.438,11,20,.550,10,28,.357,.552,8,14,.571,0,17,17,3,2,1,6,8,61,https://www.basketball-reference.com/players/e/evansty01.html,,
2005-06,22,LAC,NBA,SG,6,0,5,1,1,1.000,0,0,,1,1,1.000,1.000,0,0,,0,0,0,0,0,0,0,0,2,https://www.basketball-reference.com/players/e/ewingda01.html,,
2010-11,26,NOH,NBA,SF,2,0,2,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,0,0,0,0,0,0,0,0,3,https://www.basketball-reference.com/players/e/ewingpa02.html,,
2016-17,21,UTA,NBA,PG,7,0,84,11,27,.407,4,12,.333,7,15,.467,.481,6,6,1.000,2,4,6,9,5,0,3,10,32,https://www.basketball-reference.com/players/e/exumda01.html,,
2017-18,22,UTA,NBA,PG,10,0,114,20,41,.488,2,7,.286,18,34,.529,.512,9,12,.750,4,10,14,10,1,1,15,15,51,https://www.basketball-reference.com/players/e/exumda01.html,,
2011-12,22,LAL,NBA,SF,3,0,9,2,3,.667,0,0,,2,3,.667,.667,0,1,.000,1,1,2,1,1,1,1,3,4,https://www.basketball-reference.com/players/e/eyengch01.html,,
2012-13,23,GSW,NBA,C,12,3,134,6,13,.462,0,0,,6,13,.462,.462,12,21,.571,13,17,30,2,3,7,12,24,24,https://www.basketball-reference.com/players/e/ezelife01.html,,
2014-15,25,GSW,NBA,C,20,0,183,27,50,.540,0,0,,27,50,.540,.540,16,29,.552,24,38,62,6,1,10,12,25,70,https://www.basketball-reference.com/players/e/ezelife01.html,,
2015-16,26,GSW,NBA,C,23,1,203,37,69,.536,0,0,,37,69,.536,.536,19,44,.432,23,38,61,8,1,7,14,34,93,https://www.basketball-reference.com/players/e/ezelife01.html,,
2019-20,24,BOS,NBA,C,2,0,3,1,1,1.000,0,0,,1,1,1.000,1.000,1,2,.500,0,1,1,0,0,0,0,0,3,https://www.basketball-reference.com/players/f/fallta01.html,,
2011-12,22,DEN,NBA,PF,7,7,192,32,60,.533,0,0,,32,60,.533,.533,9,12,.750,25,45,70,4,5,8,14,20,73,https://www.basketball-reference.com/players/f/farieke01.html,,
2012-13,23,DEN,NBA,PF,5,4,145,20,32,.625,0,0,,20,32,.625,.625,11,15,.733,12,30,42,1,5,1,5,22,51,https://www.basketball-reference.com/players/f/farieke01.html,,
2018-19,29,HOU,NBA,C,6,0,56,9,13,.692,1,1,1.000,8,12,.667,.731,5,6,.833,3,18,21,2,2,0,0,6,24,https://www.basketball-reference.com/players/f/farieke01.html,,
2006-07,20,LAL,NBA,PG,5,5,114,12,28,.429,2,10,.200,10,18,.556,.464,6,7,.857,1,13,14,8,6,1,5,9,32,https://www.basketball-reference.com/players/f/farmajo01.html,,
2007-08,21,LAL,NBA,PG,21,0,360,44,115,.383,17,44,.386,27,71,.380,.457,14,16,.875,7,26,33,27,7,4,17,27,119,https://www.basketball-reference.com/players/f/farmajo01.html,,
2008-09,22,LAL,NBA,PG,20,1,260,34,87,.391,12,39,.308,22,48,.458,.460,14,19,.737,5,23,28,33,9,3,18,16,94,https://www.basketball-reference.com/players/f/farmajo01.html,,
2009-10,23,LAL,NBA,PG,23,0,301,38,94,.404,20,50,.400,18,44,.409,.511,9,13,.692,1,26,27,32,17,0,20,30,105,https://www.basketball-reference.com/players/f/farmajo01.html,,
2015-16,29,MEM,NBA,PG,4,4,113,10,31,.323,4,12,.333,6,19,.316,.387,3,3,1.000,0,6,6,16,3,1,10,4,27,https://www.basketball-reference.com/players/f/farmajo01.html,,
2011-12,20,UTA,NBA,PF,4,1,116,15,36,.417,0,0,,15,36,.417,.417,17,29,.586,14,24,38,2,5,6,5,11,47,https://www.basketball-reference.com/players/f/favorde01.html,,
2016-17,25,UTA,NBA,PF,11,2,225,36,62,.581,0,0,,36,62,.581,.581,11,23,.478,15,45,60,10,8,6,4,25,83,https://www.basketball-reference.com/players/f/favorde01.html,,
2017-18,26,UTA,NBA,C,11,9,286,42,68,.618,2,5,.400,40,63,.635,.632,16,33,.485,20,37,57,13,8,11,10,17,102,https://www.basketball-reference.com/players/f/favorde01.html,,
2018-19,27,UTA,NBA,C,5,2,103,23,36,.639,0,3,.000,23,33,.697,.639,13,19,.684,15,22,37,4,4,9,5,12,59,https://www.basketball-reference.com/players/f/favorde01.html,,
2016-17,24,CHI,NBA,C,6,0,82,9,15,.600,0,0,,9,15,.600,.600,1,2,.500,7,19,26,2,3,2,7,16,19,https://www.basketball-reference.com/players/f/feliccr01.html,,
2009-10,25,CHA,NBA,PG,4,4,130,17,42,.405,4,13,.308,13,29,.448,.452,9,12,.750,3,7,10,20,2,0,6,8,47,https://www.basketball-reference.com/players/f/feltora01.html,,
2010-11,26,DEN,NBA,SG,5,0,152,18,50,.360,4,16,.250,14,34,.412,.400,18,24,.750,0,9,9,21,6,0,10,10,58,https://www.basketball-reference.com/players/f/feltora01.html,,
2012-13,28,NYK,NBA,PG,12,12,454,72,162,.444,9,28,.321,63,134,.470,.472,16,24,.667,17,24,41,56,20,5,20,26,169,https://www.basketball-reference.com/players/f/feltora01.html,,
2014-15,30,DAL,NBA,PG,3,1,36,4,15,.267,0,4,.000,4,11,.364,.267,3,3,1.000,1,6,7,4,0,0,0,1,11,https://www.basketball-reference.com/players/f/feltora01.html,,
2015-16,31,DAL,NBA,PG,5,4,172,32,69,.464,4,14,.286,28,55,.509,.493,7,11,.636,2,21,23,23,6,0,12,14,75,https://www.basketball-reference.com/players/f/feltora01.html,,
2016-17,32,LAC,NBA,PG,7,0,127,15,32,.469,4,9,.444,11,23,.478,.531,5,5,1.000,2,8,10,10,6,0,3,10,39,https://www.basketball-reference.com/players/f/feltora01.html,,
2017-18,33,OKC,NBA,PG,6,0,79,12,31,.387,7,14,.500,5,17,.294,.500,0,2,.000,2,11,13,9,4,2,5,7,31,https://www.basketball-reference.com/players/f/feltora01.html,,
2018-19,34,OKC,NBA,PG,5,0,57,4,13,.308,2,8,.250,2,5,.400,.385,1,2,.500,0,3,3,3,4,1,2,7,11,https://www.basketball-reference.com/players/f/feltora01.html,,
2017-18,19,OKC,NBA,SG,3,0,6,1,1,1.000,1,1,1.000,0,0,,1.500,0,0,,1,0,1,1,0,0,0,2,3,https://www.basketball-reference.com/players/f/fergute01.html,,
2018-19,20,OKC,NBA,SG,5,5,128,9,25,.360,7,18,.389,2,7,.286,.500,0,0,,2,10,12,6,2,0,5,19,25,https://www.basketball-reference.com/players/f/fergute01.html,,
2019-20,21,OKC,NBA,SF,4,1,42,2,11,.182,2,10,.200,0,1,.000,.273,0,0,,1,3,4,1,1,0,1,3,6,https://www.basketball-reference.com/players/f/fergute01.html,,
2008-09,23,POR,NBA,SG,6,1,162,15,35,.429,8,19,.421,7,16,.438,.543,7,7,1.000,2,15,17,6,8,3,9,12,45,https://www.basketball-reference.com/players/f/fernaru01.html,,
2009-10,24,POR,NBA,SG,6,3,119,12,27,.444,11,23,.478,1,4,.250,.648,6,8,.750,2,8,10,8,1,0,5,7,41,https://www.basketball-reference.com/players/f/fernaru01.html,,
2010-11,25,POR,NBA,SG,6,0,81,4,18,.222,3,10,.300,1,8,.125,.306,6,9,.667,2,10,12,5,2,1,2,7,17,https://www.basketball-reference.com/players/f/fernaru01.html,,
2009-10,23,UTA,NBA,C,10,9,181,13,30,.433,0,0,,13,30,.433,.433,7,21,.333,8,31,39,12,0,5,14,30,33,https://www.basketball-reference.com/players/f/fesenky01.html,,
2010-11,22,NYK,NBA,SG,4,4,71,3,15,.200,0,4,.000,3,11,.273,.200,1,6,.167,1,4,5,5,2,3,4,0,7,https://www.basketball-reference.com/players/f/fieldla01.html,,
2011-12,23,NYK,NBA,SG,5,4,115,15,31,.484,1,5,.200,14,26,.538,.500,5,7,.714,4,11,15,7,3,0,9,5,36,https://www.basketball-reference.com/players/f/fieldla01.html,,
2013-14,25,TOR,NBA,SF,3,0,26,0,2,.000,0,0,,0,2,.000,.000,0,0,,2,5,7,1,4,1,1,2,0,https://www.basketball-reference.com/players/f/fieldla01.html,,
2019-20,26,DAL,NBA,PF,6,6,191,23,52,.442,11,30,.367,12,22,.545,.548,4,5,.800,12,22,34,19,7,3,9,22,61,https://www.basketball-reference.com/players/f/finnedo01.html,,
2016-17,23,SAS,NBA,SG,6,0,73,6,21,.286,2,9,.222,4,12,.333,.333,6,6,1.000,0,6,6,3,0,1,2,5,20,https://www.basketball-reference.com/players/f/forbebr01.html,,
2017-18,24,SAS,NBA,SG,4,0,54,5,17,.294,2,9,.222,3,8,.375,.353,5,7,.714,1,2,3,2,0,0,0,3,17,https://www.basketball-reference.com/players/f/forbebr01.html,,
2018-19,25,SAS,NBA,SG,7,7,212,27,56,.482,15,31,.484,12,25,.480,.616,6,9,.667,1,24,25,7,1,1,3,14,75,https://www.basketball-reference.com/players/f/forbebr01.html,,
2010-11,25,DEN,NBA,SF,1,0,2,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,0,0,0,0,0,0,https://www.basketball-reference.com/players/f/forbega01.html,,
2005-06,22,MIL,NBA,PG,5,5,162,25,51,.490,2,5,.400,23,46,.500,.510,11,12,.917,3,17,20,32,3,0,16,20,63,https://www.basketball-reference.com/players/f/fordtj01.html,,
2006-07,23,TOR,NBA,PG,6,5,136,37,76,.487,5,10,.500,32,66,.485,.520,17,21,.810,5,5,10,24,7,2,14,7,96,https://www.basketball-reference.com/players/f/fordtj01.html,,
2007-08,24,TOR,NBA,PG,5,5,124,21,58,.362,1,8,.125,20,50,.400,.371,15,16,.938,3,19,22,33,5,0,10,10,58,https://www.basketball-reference.com/players/f/fordtj01.html,,
2010-11,27,IND,NBA,PG,2,0,14,3,3,1.000,1,1,1.000,2,2,1.000,1.167,0,0,,0,1,1,2,0,0,2,0,7,https://www.basketball-reference.com/players/f/fordtj01.html,,
2012-13,20,DEN,NBA,SG,4,4,53,6,17,.353,0,8,.000,6,9,.667,.353,7,8,.875,0,0,0,4,2,0,6,6,19,https://www.basketball-reference.com/players/f/fournev01.html,,
2018-19,26,ORL,NBA,SG,5,5,175,24,69,.348,8,34,.235,16,35,.457,.406,6,8,.750,3,13,16,10,7,0,12,14,62,https://www.basketball-reference.com/players/f/fournev01.html,,
2019-20,27,ORL,NBA,SF,5,5,171,20,57,.351,12,35,.343,8,22,.364,.456,12,17,.706,3,17,20,13,6,3,9,10,64,https://www.basketball-reference.com/players/f/fournev01.html,,
2011-12,28,LAC,NBA,SG,11,11,291,29,74,.392,14,32,.438,15,42,.357,.486,11,13,.846,4,18,22,17,6,3,12,19,83,https://www.basketball-reference.com/players/f/foyera01.html,,
2015-16,32,OKC,NBA,SG,16,0,190,14,41,.341,8,26,.308,6,15,.400,.439,4,4,1.000,2,18,20,13,2,3,11,18,40,https://www.basketball-reference.com/players/f/foyera01.html,,
2013-14,22,MEM,NBA,SG,2,0,4,0,2,.000,0,0,,0,2,.000,.000,1,2,.500,0,1,1,0,0,0,0,0,1,https://www.basketball-reference.com/players/f/frankja01.html,,
2018-19,22,ORL,NBA,SG,3,0,15,2,5,.400,0,0,,2,5,.400,.400,1,2,.500,1,3,4,0,1,0,0,0,5,https://www.basketball-reference.com/players/f/frazime01.html,,
2019-20,25,HOU,NBA,SG,4,0,12,1,4,.250,1,2,.500,0,2,.000,.375,0,0,,1,3,4,2,0,0,1,0,3,https://www.basketball-reference.com/players/f/frazimi01.html,,
2014-15,24,POR,NBA,PG,2,0,3,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,0,0,0,0,0,1,0,0,https://www.basketball-reference.com/players/f/fraziti01.html,,
2017-18,27,WAS,NBA,PG,2,0,6,0,1,.000,0,0,,0,1,.000,.000,0,0,,0,1,1,3,1,0,0,2,0,https://www.basketball-reference.com/players/f/fraziti01.html,,
2018-19,28,MIL,NBA,PG,11,0,40,8,13,.615,3,6,.500,5,7,.714,.731,2,2,1.000,0,9,9,10,1,0,3,5,21,https://www.basketball-reference.com/players/f/fraziti01.html,,
2013-14,26,POR,NBA,C,9,0,24,0,3,.000,0,0,,0,3,.000,.000,1,2,.500,4,4,8,1,1,1,4,7,1,https://www.basketball-reference.com/players/f/freeljo01.html,,
2014-15,27,POR,NBA,C,2,0,7,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,1,0,0,0,0,https://www.basketball-reference.com/players/f/freeljo01.html,,
2008-09,25,POR,NBA,PF,4,0,36,5,14,.357,0,0,,5,14,.357,.357,2,3,.667,1,2,3,1,0,0,0,5,12,https://www.basketball-reference.com/players/f/fryech01.html,,
2009-10,26,PHO,NBA,C,16,0,435,43,118,.364,30,86,.349,13,32,.406,.492,15,16,.938,10,80,90,15,12,9,8,50,131,https://www.basketball-reference.com/players/f/fryech01.html,,
2015-16,32,CLE,NBA,C,17,0,237,41,69,.594,26,46,.565,15,23,.652,.783,6,7,.857,5,36,41,5,6,9,5,37,114,https://www.basketball-reference.com/players/f/fryech01.html,,
2016-17,33,CLE,NBA,C,12,0,154,31,60,.517,20,39,.513,11,21,.524,.683,6,7,.857,0,22,22,13,3,4,2,11,88,https://www.basketball-reference.com/players/f/fryech01.html,,
2017-18,19,PHI,NBA,SG,3,0,23,1,7,.143,0,0,,1,7,.143,.143,3,4,.750,0,3,3,5,2,0,1,4,5,https://www.basketball-reference.com/players/f/fultzma01.html,,
2019-20,21,ORL,NBA,PG,5,5,147,24,60,.400,6,16,.375,18,44,.409,.450,6,7,.857,0,11,11,26,5,3,13,20,60,https://www.basketball-reference.com/players/f/fultzma01.html,,
2019-20,22,POR,NBA,PF,4,2,53,9,15,.600,2,5,.400,7,10,.700,.667,1,2,.500,7,3,10,4,2,2,5,16,21,https://www.basketball-reference.com/players/g/gabriwe01.html,,
2009-10,23,UTA,NBA,PG,5,0,7,5,6,.833,1,1,1.000,4,5,.800,.917,0,2,.000,1,1,2,0,0,0,0,1,11,https://www.basketball-reference.com/players/g/gainesu01.html,,
2010-11,22,DEN,NBA,SF,5,5,148,19,44,.432,7,15,.467,12,29,.414,.511,15,21,.714,1,16,17,10,4,0,7,17,60,https://www.basketball-reference.com/players/g/gallida01.html,,
2011-12,23,DEN,NBA,SF,7,7,222,34,94,.362,4,23,.174,30,71,.423,.383,22,24,.917,9,27,36,17,5,4,9,15,94,https://www.basketball-reference.com/players/g/gallida01.html,,
2018-19,30,LAC,NBA,SF,6,6,201,39,111,.351,13,43,.302,26,68,.382,.410,28,33,.848,9,28,37,16,8,1,11,14,119,https://www.basketball-reference.com/players/g/gallida01.html,,
2019-20,31,OKC,NBA,PF,7,7,212,32,79,.405,12,37,.324,20,42,.476,.481,29,30,.967,5,33,38,7,5,1,15,11,105,https://www.basketball-reference.com/players/g/gallida01.html,,
