Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player_link
2010-11,30,OKC,NBA,C,17,0,413,6.1,9.7,.632,0.0,0.0,,6.1,9.7,.632,2.3,2.9,.783,6.0,6.5,12.5,1.9,1.9,1.9,1.7,8.1,14.6,,135,106,https://www.basketball-reference.com/players/c/collini01.html
2011-12,31,OKC,NBA,PF,20,0,332,5.3,8.1,.647,0.0,0.0,,5.3,8.1,.647,0.5,1.1,.429,4.8,5.9,10.7,3.0,1.9,0.8,1.9,8.1,11.0,,126,109,https://www.basketball-reference.com/players/c/collini01.html
2012-13,32,OKC,NBA,C,11,0,178,6.4,13.7,.468,0.0,0.0,,6.4,13.7,.468,3.2,3.5,.917,7.3,7.6,14.8,3.5,1.5,3.2,2.9,10.8,16.0,,112,101,https://www.basketball-reference.com/players/c/collini01.html
2013-14,33,OKC,NBA,PF,17,2,183,3.4,8.2,.414,0.6,1.4,.400,2.8,6.8,.417,2.0,2.8,.700,3.4,7.4,10.8,3.7,1.1,2.0,1.7,8.0,9.4,,111,109,https://www.basketball-reference.com/players/c/collini01.html
2015-16,35,OKC,NBA,PF,9,0,79,2.6,3.8,.667,0.0,0.0,,2.6,3.8,.667,0.6,1.3,.500,1.9,5.1,7.0,3.2,5.1,0.0,0.6,10.9,5.7,,140,101,https://www.basketball-reference.com/players/c/collini01.html
2010-11,23,MEM,NBA,PG,13,13,507,7.5,19.3,.388,1.2,3.9,.297,6.3,15.4,.411,4.6,5.6,.830,0.7,4.5,5.3,8.7,1.5,0.3,3.2,4.1,20.7,,102,109,https://www.basketball-reference.com/players/c/conlemi01.html
2011-12,24,MEM,NBA,PG,7,7,277,6.3,15.0,.421,2.2,4.3,.500,4.2,10.7,.389,4.7,6.3,.750,0.8,3.8,4.5,9.9,1.2,0.0,3.2,3.8,19.6,,115,106,https://www.basketball-reference.com/players/c/conlemi01.html
2012-13,25,MEM,NBA,PG,15,15,575,7.8,20.4,.384,1.7,6.0,.281,6.1,14.4,.428,6.7,8.8,.763,1.1,5.6,6.7,10.1,2.5,0.5,3.2,3.2,24.1,,107,104,https://www.basketball-reference.com/players/c/conlemi01.html
2013-14,26,MEM,NBA,PG,7,7,267,8.9,20.6,.431,0.6,5.5,.111,8.3,15.2,.547,4.0,5.3,.769,1.0,5.5,6.5,11.1,2.8,0.2,3.0,2.8,22.5,,105,108,https://www.basketball-reference.com/players/c/conlemi01.html
2014-15,27,MEM,NBA,PG,8,8,243,8.8,20.6,.427,2.1,7.1,.303,6.7,13.5,.492,4.9,6.0,.821,0.0,1.9,1.9,8.6,2.4,0.0,2.6,2.1,24.7,,108,108,https://www.basketball-reference.com/players/c/conlemi01.html
2016-17,29,MEM,NBA,PG,6,6,224,12.5,25.7,.485,4.2,9.5,.447,8.2,16.2,.508,7.7,9.2,.838,0.2,4.7,5.0,10.5,2.5,0.7,3.0,2.7,36.9,,125,118,https://www.basketball-reference.com/players/c/conlemi01.html
2019-20,32,UTA,NBA,PG,5,5,165,9.9,20.4,.484,5.7,10.8,.529,4.1,9.5,.433,6.0,7.0,.864,1.0,3.5,4.5,8.3,2.5,0.3,1.6,3.2,31.5,,142,119,https://www.basketball-reference.com/players/c/conlemi01.html
2015-16,23,POR,NBA,SG,6,0,8,18.7,31.2,.600,12.5,18.7,.667,6.2,12.5,.500,0.0,0.0,,0.0,6.2,6.2,0.0,0.0,0.0,0.0,0.0,49.9,,144,116,https://www.basketball-reference.com/players/c/connapa01.html
2016-17,24,POR,NBA,SG,3,0,24,3.9,17.6,.222,0.0,11.7,.000,3.9,5.9,.667,5.9,5.9,1.000,2.0,11.7,13.7,7.8,0.0,0.0,0.0,0.0,13.7,,95,120,https://www.basketball-reference.com/players/c/connapa01.html
2017-18,25,POR,NBA,SG,4,0,59,4.9,12.4,.400,1.6,8.2,.200,3.3,4.1,.800,1.6,1.6,1.000,1.6,1.6,3.3,4.9,0.8,0.8,0.8,7.4,13.2,,117,120,https://www.basketball-reference.com/players/c/connapa01.html
2018-19,26,MIL,NBA,SG,15,0,324,5.5,11.4,.481,2.2,6.2,.357,3.3,5.2,.629,0.6,1.2,.500,1.5,12.3,13.8,3.1,0.9,1.9,1.2,2.1,13.8,,115,101,https://www.basketball-reference.com/players/c/connapa01.html
2019-20,27,MIL,NBA,SG,10,0,171,4.2,9.8,.429,2.2,6.4,.348,2.0,3.4,.583,0.6,0.6,1.000,1.4,9.5,10.9,3.1,0.6,0.6,1.4,3.4,11.2,,111,110,https://www.basketball-reference.com/players/c/connapa01.html
2003-04,23,LAL,NBA,C,13,0,46,6.0,18.1,.333,0.0,0.0,,6.0,18.1,.333,2.4,2.4,1.000,3.6,10.8,14.5,1.2,1.2,0.0,3.6,8.4,14.5,,75,99,https://www.basketball-reference.com/players/c/cookbr01.html
2005-06,25,LAL,NBA,PF,7,0,78,12.1,30.9,.391,2.7,7.4,.364,9.4,23.5,.400,2.7,2.7,1.000,7.4,7.4,14.8,5.4,0.7,0.0,2.0,10.1,29.5,,108,116,https://www.basketball-reference.com/players/c/cookbr01.html
2006-07,26,LAL,NBA,PF,5,0,51,6.0,17.9,.333,3.0,7.0,.429,3.0,11.0,.273,3.0,3.0,1.000,2.0,4.0,6.0,0.0,0.0,1.0,2.0,13.0,17.9,,99,118,https://www.basketball-reference.com/players/c/cookbr01.html
2008-09,28,HOU,NBA,PF,6,0,32,6.9,25.8,.267,3.4,15.5,.222,3.4,10.3,.333,0.0,0.0,,5.2,15.5,20.6,5.2,3.4,1.7,6.9,6.9,17.2,,70,96,https://www.basketball-reference.com/players/c/cookbr01.html
2008-09,21,MIA,NBA,SF,7,0,161,4.7,15.2,.310,3.2,10.8,.300,1.4,4.3,.333,0.7,0.7,1.000,1.1,5.1,6.1,1.4,0.7,0.0,2.2,6.5,13.3,,86,110,https://www.basketball-reference.com/players/c/cookda02.html
2010-11,23,OKC,NBA,SG,17,0,195,6.0,15.2,.393,4.3,12.5,.348,1.6,2.7,.600,1.1,1.1,1.000,0.3,7.0,7.3,0.3,0.8,0.0,1.9,4.6,17.3,,106,111,https://www.basketball-reference.com/players/c/cookda02.html
2011-12,24,OKC,NBA,SG,16,0,109,6.8,18.0,.378,3.9,11.7,.333,2.9,6.3,.462,0.0,1.0,.000,0.0,4.4,4.4,1.9,1.5,0.0,0.0,3.4,17.5,,103,112,https://www.basketball-reference.com/players/c/cookda02.html
2012-13,25,CHI,NBA,SG,6,0,36,1.5,15.3,.100,1.5,12.2,.125,0.0,3.1,.000,0.0,0.0,,0.0,4.6,4.6,6.1,1.5,0.0,6.1,9.2,4.6,,38,112,https://www.basketball-reference.com/players/c/cookda02.html
2017-18,24,GSW,NBA,PG,17,0,175,8.5,19.0,.448,2.0,8.8,.226,6.5,10.2,.639,4.0,4.8,.824,0.6,6.0,6.5,3.1,1.1,0.6,1.4,3.7,23.0,,110,107,https://www.basketball-reference.com/players/c/cookqu01.html
2018-19,25,GSW,NBA,PG,17,0,193,7.1,17.8,.400,2.8,8.6,.324,4.3,9.1,.472,1.0,1.0,1.000,0.5,4.1,4.6,3.0,0.8,0.3,1.5,3.3,18.0,,100,117,https://www.basketball-reference.com/players/c/cookqu01.html
2019-20,26,LAL,NBA,PG,6,0,24,10.3,20.6,.500,4.1,8.2,.500,6.2,12.3,.500,2.1,2.1,1.000,0.0,2.1,2.1,10.3,0.0,0.0,2.1,2.1,26.7,,131,117,https://www.basketball-reference.com/players/c/cookqu01.html
2019-20,22,DEN,NBA,SF,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,25.5,25.5,0.0,0.0,0.0,0.0,0.0,0.0,,,110,https://www.basketball-reference.com/players/c/cookty01.html
2012-13,28,NYK,NBA,PF,9,1,93,7.1,17.9,.400,6.6,13.7,.478,0.6,4.2,.143,1.2,1.2,1.000,1.2,4.2,5.4,0.6,3.0,0.0,2.4,5.4,22.0,,110,99,https://www.basketball-reference.com/players/c/copelch01.html
2013-14,29,IND,NBA,SF,12,0,82,8.0,18.6,.429,4.0,10.6,.375,4.0,8.0,.500,4.0,6.0,.667,0.7,2.7,3.3,0.7,2.0,2.0,3.3,8.6,23.9,,98,105,https://www.basketball-reference.com/players/c/copelch01.html
2018-19,28,GSW,NBA,C,8,5,133,7.7,19.5,.396,1.1,4.4,.250,6.6,15.1,.439,5.9,9.2,.640,3.3,11.0,14.4,7.0,1.8,2.2,7.0,8.8,22.4,,90,107,https://www.basketball-reference.com/players/c/couside01.html
2017-18,27,PHI,NBA,SF,10,8,281,4.7,14.5,.325,2.6,8.4,.313,2.1,6.1,.343,2.1,2.8,.750,2.1,7.2,9.3,4.4,1.9,1.6,1.9,5.3,14.2,,100,105,https://www.basketball-reference.com/players/c/covinro01.html
2019-20,29,HOU,NBA,C,12,12,379,6.0,12.2,.495,4.4,8.7,.500,1.7,3.5,.481,0.8,0.9,.857,1.0,6.7,7.7,2.1,3.9,1.7,1.5,5.8,17.2,,122,102,https://www.basketball-reference.com/players/c/covinro01.html
2014-15,22,POR,NBA,SG,2,1,39,5.3,6.7,.800,2.7,2.7,1.000,2.7,4.0,.667,0.0,0.0,,0.0,4.0,4.0,1.3,2.7,1.3,1.3,1.3,13.4,,155,107,https://www.basketball-reference.com/players/c/crabbal01.html
2015-16,23,POR,NBA,SG,11,0,302,6.3,12.1,.521,2.5,5.8,.429,3.8,6.3,.605,2.3,3.1,.737,0.8,4.5,5.3,2.5,1.2,0.2,1.0,3.8,17.3,,129,114,https://www.basketball-reference.com/players/c/crabbal01.html
2016-17,24,POR,NBA,SG,4,0,92,4.6,12.2,.375,1.5,6.6,.231,3.1,5.6,.545,0.5,1.5,.333,0.0,6.1,6.1,1.0,0.5,0.0,0.5,4.6,11.2,,90,121,https://www.basketball-reference.com/players/c/crabbal01.html
2018-19,28,DEN,NBA,SF,14,11,330,5.2,10.8,.478,2.7,5.7,.472,2.5,5.2,.485,1.4,2.5,.563,3.3,8.0,11.3,1.9,1.1,0.8,0.9,6.0,14.4,,127,113,https://www.basketball-reference.com/players/c/craigto01.html
2019-20,29,DEN,NBA,SF,19,3,375,4.5,10.6,.423,1.5,5.7,.262,3.0,4.9,.611,1.2,1.8,.692,1.8,6.7,8.4,1.8,1.0,1.0,1.2,6.0,11.7,,107,117,https://www.basketball-reference.com/players/c/craigto01.html
2012-13,24,BOS,NBA,SG,5,0,59,6.5,21.5,.304,2.8,11.2,.250,3.7,10.3,.364,0.9,1.9,.500,0.0,2.8,2.8,0.0,1.9,0.0,2.8,2.8,16.8,,65,102,https://www.basketball-reference.com/players/c/crawfjo02.html
2013-14,25,GSW,NBA,SG,6,0,57,10.5,28.8,.364,1.7,6.1,.286,8.7,22.7,.385,9.6,12.2,.786,3.5,4.4,7.8,1.7,0.9,0.0,4.4,6.1,32.3,,96,118,https://www.basketball-reference.com/players/c/crawfjo02.html
2017-18,29,NOP,NBA,SG,2,0,15,24.9,40.5,.615,9.3,24.9,.375,15.6,15.6,1.000,0.0,0.0,,0.0,12.5,12.5,3.1,3.1,0.0,9.3,3.1,59.2,,99,103,https://www.basketball-reference.com/players/c/crawfjo02.html
2013-14,23,DAL,NBA,SF,7,0,81,5.2,11.6,.444,1.9,4.5,.429,3.2,7.1,.455,0.0,0.0,,2.6,5.2,7.7,1.3,1.3,0.6,1.9,8.4,12.2,,103,113,https://www.basketball-reference.com/players/c/crowdja01.html
2014-15,24,BOS,NBA,SF,4,1,100,7.7,14.9,.517,1.5,5.1,.300,6.2,9.8,.632,5.1,6.7,.769,4.1,6.2,10.3,4.1,2.1,1.5,2.6,7.2,22.1,,120,109,https://www.basketball-reference.com/players/c/crowdja01.html
2015-16,25,BOS,NBA,SF,6,6,197,5.0,17.8,.278,2.5,10.2,.244,2.5,7.7,.323,1.7,2.7,.636,1.2,8.4,9.7,3.2,2.2,0.7,1.7,4.2,14.1,,80,99,https://www.basketball-reference.com/players/c/crowdja01.html
2016-17,26,BOS,NBA,SF,18,18,596,7.5,17.2,.435,2.7,7.5,.352,4.8,9.6,.500,3.4,4.1,.833,1.7,8.1,9.9,4.1,1.6,0.5,1.0,4.5,21.0,,117,114,https://www.basketball-reference.com/players/c/crowdja01.html
2017-18,27,UTA,NBA,SF,11,2,323,5.3,16.4,.324,3.3,10.0,.333,2.0,6.4,.310,2.7,4.3,.643,0.6,7.9,8.5,2.9,2.3,0.3,2.1,3.8,16.7,,91,106,https://www.basketball-reference.com/players/c/crowdja01.html
2018-19,28,UTA,NBA,SF,5,3,130,6.4,17.2,.370,3.4,11.2,.300,3.0,6.0,.500,5.2,7.1,.737,1.5,9.4,10.9,1.5,1.9,0.0,0.4,2.6,21.3,,113,109,https://www.basketball-reference.com/players/c/crowdja01.html
2019-20,29,MIA,NBA,PF,21,21,660,6.1,15.2,.403,4.2,12.2,.342,2.0,3.0,.650,2.7,3.5,.761,0.8,8.0,8.9,3.0,1.1,0.9,1.1,4.2,19.1,,113,112,https://www.basketball-reference.com/players/c/crowdja01.html
2009-10,22,POR,NBA,PF,5,0,42,11.8,19.6,.600,0.0,1.3,.000,11.8,18.3,.643,6.5,7.9,.833,6.5,10.5,17.0,0.0,6.5,0.0,3.9,13.1,30.1,,118,105,https://www.basketball-reference.com/players/c/cunnida01.html
2011-12,24,MEM,NBA,PF,7,0,49,4.5,12.3,.364,0.0,0.0,,4.5,12.3,.364,0.0,0.0,,6.7,5.6,12.3,0.0,1.1,2.2,1.1,3.4,8.9,,94,103,https://www.basketball-reference.com/players/c/cunnida01.html
2014-15,27,NOP,NBA,PF,4,0,75,6.3,7.7,.818,0.0,0.0,,6.3,7.7,.818,2.1,2.1,1.000,2.8,9.7,12.5,1.4,2.1,2.8,0.0,4.9,14.6,,180,110,https://www.basketball-reference.com/players/c/cunnida01.html
2018-19,31,SAS,NBA,PF,5,0,13,8.0,12.1,.667,8.0,8.0,1.000,0.0,4.0,.000,0.0,0.0,,8.0,16.1,24.1,0.0,0.0,0.0,0.0,0.0,24.1,,195,113,https://www.basketball-reference.com/players/c/cunnida01.html
2018-19,28,POR,NBA,SG,16,0,326,4.6,12.6,.366,3.2,8.0,.404,1.4,4.6,.300,1.4,1.7,.818,0.8,3.1,3.8,2.0,1.8,0.6,1.1,4.1,13.8,,107,114,https://www.basketball-reference.com/players/c/curryse01.html
2019-20,29,DAL,NBA,SG,6,0,173,8.4,14.4,.585,2.7,5.7,.476,5.7,8.7,.656,1.4,1.4,1.000,0.5,2.4,3.0,2.2,1.6,0.0,2.2,3.8,20.9,,122,124,https://www.basketball-reference.com/players/c/curryse01.html
2012-13,24,GSW,NBA,PG,12,12,497,10.5,24.1,.434,4.3,10.9,.396,6.2,13.3,.465,3.6,3.9,.921,0.5,4.2,4.7,10.0,2.1,0.2,4.1,3.6,28.9,,113,108,https://www.basketball-reference.com/players/c/curryst01.html
2013-14,25,GSW,NBA,PG,7,7,296,8.6,19.5,.440,3.7,9.6,.386,4.9,9.9,.492,6.2,7.1,.881,0.7,3.5,4.2,9.9,2.0,0.2,4.4,3.0,27.0,,119,116,https://www.basketball-reference.com/players/c/curryst01.html
2014-15,26,GSW,NBA,PG,21,21,826,12.4,27.2,.456,6.1,14.4,.422,6.3,12.8,.493,6.0,7.1,.835,1.2,5.3,6.5,8.3,2.4,0.2,5.1,2.9,36.9,,114,102,https://www.basketball-reference.com/players/c/curryst01.html
2015-16,27,GSW,NBA,PG,18,17,614,11.9,27.2,.438,6.4,16.0,.404,5.5,11.3,.486,6.1,6.7,.916,1.1,6.8,8.0,7.5,2.1,0.4,6.0,3.1,36.4,,109,106,https://www.basketball-reference.com/players/c/curryst01.html
2016-17,28,GSW,NBA,PG,17,17,601,12.0,24.8,.484,5.7,13.7,.419,6.3,11.1,.564,8.2,9.1,.904,1.8,6.7,8.4,9.1,2.7,0.3,4.6,2.9,38.0,,125,105,https://www.basketball-reference.com/players/c/curryst01.html
2017-18,29,GSW,NBA,PG,15,14,555,12.3,27.3,.451,5.7,14.5,.395,6.5,12.7,.514,4.0,4.2,.957,0.8,7.4,8.2,7.3,2.3,1.0,3.9,3.4,34.3,,112,103,https://www.basketball-reference.com/players/c/curryst01.html
2018-19,30,GSW,NBA,PG,22,22,846,11.0,24.9,.441,5.3,14.1,.377,5.7,10.8,.524,8.6,9.1,.943,1.0,6.7,7.6,7.3,1.4,0.2,3.8,3.9,35.9,,121,114,https://www.basketball-reference.com/players/c/curryst01.html
2003-04,23,DAL,NBA,SG,5,5,184,8.7,20.3,.427,0.3,1.9,.143,8.4,18.4,.456,3.8,6.0,.636,2.7,5.7,8.4,4.1,2.7,0.8,4.1,3.8,21.4,,95,102,https://www.basketball-reference.com/players/d/daniema01.html
2004-05,24,DAL,NBA,SG,11,0,165,8.2,19.0,.433,0.3,1.9,.167,7.9,17.1,.463,6.0,8.5,.704,4.7,6.0,10.7,4.4,1.9,0.9,4.1,4.7,22.7,,104,115,https://www.basketball-reference.com/players/d/daniema01.html
2005-06,25,DAL,NBA,SG,20,0,222,6.1,13.6,.446,0.5,1.2,.400,5.6,12.4,.451,3.9,5.1,.762,2.4,2.7,5.1,6.3,1.2,0.2,2.9,6.3,16.5,,109,109,https://www.basketball-reference.com/players/d/daniema01.html
2009-10,29,BOS,NBA,SF,11,0,37,7.3,18.9,.385,1.5,2.9,.500,5.8,16.0,.364,8.7,8.7,1.000,7.3,7.3,14.5,1.5,0.0,0.0,4.4,5.8,24.7,,107,106,https://www.basketball-reference.com/players/d/daniema01.html
2011-12,31,BOS,NBA,SG,15,0,92,6.5,11.3,.579,0.0,1.2,.000,6.5,10.1,.647,4.8,5.9,.800,0.6,5.3,5.9,1.8,1.2,0.6,1.2,7.7,17.8,,123,102,https://www.basketball-reference.com/players/d/daniema01.html
2012-13,32,MIL,NBA,SF,3,0,33,9.6,17.6,.545,0.0,3.2,.000,9.6,14.4,.667,0.0,0.0,,0.0,6.4,6.4,6.4,1.6,0.0,1.6,4.8,19.2,,109,112,https://www.basketball-reference.com/players/d/daniema01.html
2013-14,22,HOU,NBA,SG,4,0,68,6.8,12.9,.529,6.1,11.4,.533,0.8,1.5,.500,3.8,3.8,1.000,2.3,4.6,6.8,0.8,1.5,0.0,1.5,7.6,23.6,,158,117,https://www.basketball-reference.com/players/d/danietr01.html
2015-16,24,CHO,NBA,SG,4,0,18,2.9,23.4,.125,0.0,8.8,.000,2.9,14.7,.200,0.0,0.0,,0.0,5.9,5.9,0.0,0.0,0.0,0.0,5.9,5.9,,27,113,https://www.basketball-reference.com/players/d/danietr01.html
2016-17,25,MEM,NBA,SG,6,0,68,2.5,7.4,.333,2.5,7.4,.333,0.0,0.0,,0.0,0.0,,0.8,3.3,4.1,1.6,1.6,0.0,1.6,0.8,7.4,,92,122,https://www.basketball-reference.com/players/d/danietr01.html
2019-20,28,DEN,NBA,SG,6,0,30,10.2,20.4,.500,5.1,10.2,.500,5.1,10.2,.500,1.7,3.4,.500,1.7,3.4,5.1,3.4,0.0,0.0,0.0,3.4,27.2,,132,122,https://www.basketball-reference.com/players/d/danietr01.html
2014-15,27,BOS,NBA,SF,3,0,14,7.3,22.0,.333,0.0,7.3,.000,7.3,14.7,.500,0.0,0.0,,0.0,3.7,3.7,3.7,0.0,0.0,0.0,14.7,14.7,,77,117,https://www.basketball-reference.com/players/d/datomlu01.html
2014-15,21,NOP,NBA,PF,4,4,172,14.3,26.4,.540,0.0,0.6,.000,14.3,25.8,.553,9.7,10.9,.889,2.7,10.6,13.4,2.4,1.5,3.6,3.9,3.6,38.2,,116,110,https://www.basketball-reference.com/players/d/davisan02.html
2017-18,24,NOP,NBA,PF,9,9,358,13.8,26.6,.520,0.8,2.9,.273,13.1,23.8,.549,6.9,8.4,.828,3.1,12.7,15.8,2.0,2.3,2.7,3.0,3.9,35.4,,111,101,https://www.basketball-reference.com/players/d/davisan02.html
2019-20,26,LAL,NBA,PF,21,21,769,13.2,23.0,.571,1.5,3.8,.383,11.7,19.2,.609,9.6,11.5,.832,3.5,9.6,13.1,4.7,1.7,1.9,3.4,3.6,37.3,,130,107,https://www.basketball-reference.com/players/d/davisan02.html
2016-17,20,MEM,NBA,C,3,0,11,15.2,25.4,.600,0.0,0.0,,15.2,25.4,.600,5.1,10.2,.500,10.2,15.2,25.4,0.0,0.0,0.0,0.0,10.2,35.6,,130,118,https://www.basketball-reference.com/players/d/davisde01.html
2012-13,23,MEM,NBA,PF,8,0,48,5.7,13.6,.417,0.0,0.0,,5.7,13.6,.417,3.4,4.5,.750,4.5,7.9,12.4,0.0,0.0,1.1,2.3,7.9,14.7,,97,107,https://www.basketball-reference.com/players/d/davised01.html
2013-14,24,MEM,NBA,PF,7,0,25,6.5,21.6,.300,0.0,0.0,,6.5,21.6,.300,0.0,2.2,.000,17.3,15.1,32.4,0.0,2.2,6.5,4.3,4.3,13.0,,80,96,https://www.basketball-reference.com/players/d/davised01.html
2015-16,26,POR,NBA,PF,11,0,205,5.1,9.7,.525,0.0,0.5,.000,5.1,9.2,.553,4.6,8.0,.576,6.3,11.9,18.2,3.4,0.5,1.7,2.4,8.0,14.8,,118,108,https://www.basketball-reference.com/players/d/davised01.html
2017-18,28,POR,NBA,C,4,0,71,3.4,6.8,.500,0.0,0.0,,3.4,6.8,.500,0.7,2.7,.250,3.4,18.5,21.9,0.0,0.0,0.7,2.7,4.8,7.5,,83,115,https://www.basketball-reference.com/players/d/davised01.html
2018-19,29,BRK,NBA,C,3,0,41,7.9,11.2,.700,0.0,0.0,,7.9,11.2,.700,2.2,2.2,1.000,4.5,16.8,21.3,2.2,0.0,1.1,0.0,10.1,17.9,,162,112,https://www.basketball-reference.com/players/d/davised01.html
2007-08,22,BOS,NBA,C,17,0,137,5.7,13.9,.412,0.0,0.4,.000,5.7,13.5,.424,4.5,7.3,.611,4.9,5.3,10.2,2.9,2.0,1.6,4.1,11.0,15.9,,93,103,https://www.basketball-reference.com/players/d/davisgl01.html
2008-09,23,BOS,NBA,C,14,14,510,8.9,18.0,.491,0.0,0.0,,8.9,18.0,.491,5.0,7.1,.710,3.4,4.7,8.1,2.6,1.9,0.8,2.1,6.1,22.8,,110,107,https://www.basketball-reference.com/players/d/davisgl01.html
2009-10,24,BOS,NBA,PF,24,1,483,6.6,13.8,.476,0.0,0.3,.000,6.6,13.5,.488,6.3,8.8,.722,4.3,7.8,12.1,1.1,2.1,1.0,2.5,6.0,19.5,,110,100,https://www.basketball-reference.com/players/d/davisgl01.html
2010-11,25,BOS,NBA,C,9,0,191,5.1,13.0,.391,0.0,0.3,.000,5.1,12.7,.400,2.3,3.1,.727,2.0,7.1,9.0,2.3,0.8,0.0,2.5,5.9,12.4,,87,106,https://www.basketball-reference.com/players/d/davisgl01.html
2011-12,26,ORL,NBA,PF,5,5,190,11.4,26.0,.438,0.0,0.0,,11.4,26.0,.438,5.0,6.4,.773,6.7,6.7,13.4,1.2,0.9,1.7,2.6,2.9,27.7,,100,107,https://www.basketball-reference.com/players/d/davisgl01.html
2013-14,28,LAC,NBA,PF,13,0,158,7.9,13.0,.610,0.0,0.0,,7.9,13.0,.610,0.0,0.0,,4.4,7.0,11.4,2.8,0.9,0.9,2.2,7.6,15.8,,118,113,https://www.basketball-reference.com/players/d/davisgl01.html
2014-15,29,LAC,NBA,PF,14,0,144,5.7,12.8,.447,0.0,0.3,.000,5.7,12.5,.459,2.4,3.0,.778,3.0,6.1,9.1,1.0,1.7,1.7,3.0,11.1,13.9,,91,106,https://www.basketball-reference.com/players/d/davisgl01.html
2004-05,24,PHI,NBA,PF,2,0,4,0.0,13.7,.000,0.0,13.7,.000,0.0,0.0,,0.0,0.0,,0.0,13.7,13.7,0.0,0.0,0.0,0.0,13.7,0.0,,0,109,https://www.basketball-reference.com/players/d/davisjo02.html
2019-20,22,TOR,NBA,SG,6,0,84,8.1,16.7,.483,4.6,11.0,.421,3.5,5.8,.600,4.0,4.0,1.000,1.2,6.3,7.5,4.0,0.6,0.0,3.5,6.3,24.8,,116,108,https://www.basketball-reference.com/players/d/daviste02.html
2012-13,24,MEM,NBA,SF,4,0,20,8.1,21.7,.375,0.0,2.7,.000,8.1,19.0,.429,2.7,2.7,1.000,0.0,2.7,2.7,0.0,0.0,2.7,2.7,5.4,19.0,,78,108,https://www.basketball-reference.com/players/d/dayeau01.html
2013-14,25,SAS,NBA,SF,1,0,6,0.0,17.3,.000,0.0,0.0,,0.0,17.3,.000,0.0,0.0,,0.0,8.6,8.6,0.0,0.0,0.0,0.0,0.0,0.0,,0,108,https://www.basketball-reference.com/players/d/dayeau01.html
2012-13,25,SAS,NBA,SG,5,0,14,3.8,15.3,.250,0.0,11.5,.000,3.8,3.8,1.000,7.7,7.7,1.000,7.7,7.7,15.3,7.7,0.0,0.0,0.0,3.8,15.3,,122,106,https://www.basketball-reference.com/players/d/decolna01.html
2013-14,26,TOR,NBA,SF,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,13.5,13.5,0.0,0.0,0.0,0.0,27.0,0.0,,,108,https://www.basketball-reference.com/players/d/decolna01.html
2013-14,24,TOR,NBA,SG,7,7,282,8.6,22.4,.385,1.1,3.4,.333,7.5,19.0,.394,13.6,15.1,.899,0.6,5.0,5.6,4.8,1.5,0.4,3.4,4.4,32.0,,113,111,https://www.basketball-reference.com/players/d/derozde01.html
2014-15,25,TOR,NBA,SG,4,4,159,10.2,25.6,.400,1.0,2.6,.375,9.3,23.0,.403,4.5,5.4,.824,1.6,6.4,8.0,7.3,1.9,0.0,3.2,3.8,25.9,,96,114,https://www.basketball-reference.com/players/d/derozde01.html
2015-16,26,TOR,NBA,SG,20,20,746,11.3,28.6,.394,0.3,1.9,.154,11.0,26.8,.411,7.2,8.8,.813,0.9,5.0,6.0,3.9,1.6,0.2,3.2,3.7,30.1,,96,110,https://www.basketball-reference.com/players/d/derozde01.html
2016-17,27,TOR,NBA,SG,10,10,373,10.5,24.2,.434,0.1,2.1,.067,10.4,22.1,.469,9.8,11.1,.888,0.6,6.2,6.8,4.7,1.9,0.0,3.5,3.6,31.0,,104,111,https://www.basketball-reference.com/players/d/derozde01.html
2017-18,28,TOR,NBA,SG,10,10,354,12.4,28.4,.437,1.4,5.0,.286,11.0,23.4,.470,6.1,7.6,.811,0.9,4.3,5.1,5.7,0.7,0.9,3.3,3.4,32.5,,104,119,https://www.basketball-reference.com/players/d/derozde01.html
2018-19,29,SAS,NBA,SG,7,7,251,12.1,24.8,.487,0.0,0.2,.000,12.1,24.6,.492,7.9,9.2,.864,2.1,7.7,9.8,6.7,1.7,0.2,2.5,3.3,32.1,,117,114,https://www.basketball-reference.com/players/d/derozde01.html
2016-17,27,SAS,NBA,C,12,3,97,7.4,12.2,.609,0.0,0.0,,7.4,12.2,.609,9.0,17.0,.531,11.1,13.8,25.0,1.6,1.1,1.6,4.2,8.5,23.9,,119,109,https://www.basketball-reference.com/players/d/dedmode01.html
2016-17,22,HOU,NBA,PF,4,0,31,4.8,19.3,.250,4.8,9.6,.500,0.0,9.6,.000,0.0,0.0,,8.0,8.0,16.1,1.6,1.6,1.6,0.0,3.2,14.5,,105,108,https://www.basketball-reference.com/players/d/dekkesa01.html
2016-17,27,ATL,NBA,PG,1,0,3,48.8,48.8,1.000,16.3,16.3,1.000,32.5,32.5,1.000,16.3,32.5,.500,0.0,16.3,16.3,0.0,0.0,0.0,0.0,0.0,130.1,,210,107,https://www.basketball-reference.com/players/d/delanma01.html
