Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player_link
2015-16,27,LAC,NBA,C,6,0,77,6.7,10.0,.667,0.0,0.0,,6.7,10.0,.667,2.0,4.0,.500,5.3,14.6,20.0,2.0,4.0,2.0,1.3,7.3,15.3,,131,92,https://www.basketball-reference.com/players/a/aldrico01.html
2008-09,23,POR,NBA,PF,6,6,237,12.3,25.1,.490,0.2,1.0,.250,12.1,24.1,.500,3.4,4.8,.700,2.2,8.7,10.9,1.9,0.7,2.4,2.4,3.9,28.2,,104,110,https://www.basketball-reference.com/players/a/aldrila01.html
2009-10,24,POR,NBA,PF,6,6,229,9.6,22.3,.430,0.2,0.5,.500,9.4,21.8,.429,7.9,10.6,.750,2.4,6.2,8.6,3.1,1.7,2.6,2.6,3.8,27.4,,105,116,https://www.basketball-reference.com/players/a/aldrila01.html
2010-11,25,POR,NBA,PF,6,6,258,11.9,25.8,.461,0.0,0.0,,11.9,25.8,.461,4.3,5.4,.792,3.6,6.5,10.1,1.8,1.8,2.2,2.0,4.3,28.0,,104,111,https://www.basketball-reference.com/players/a/aldrila01.html
2013-14,28,POR,NBA,PF,11,11,441,13.0,28.8,.452,0.2,0.3,.667,12.8,28.4,.449,6.9,8.6,.800,3.5,10.0,13.5,1.8,0.8,2.1,2.2,4.6,33.1,,108,111,https://www.basketball-reference.com/players/a/aldrila01.html
2014-15,29,POR,NBA,PF,5,5,208,9.3,28.1,.330,0.8,2.8,.273,8.5,25.3,.337,8.0,9.0,.889,5.3,8.8,14.0,2.3,0.5,3.0,2.0,4.0,27.3,,96,107,https://www.basketball-reference.com/players/a/aldrila01.html
2015-16,30,SAS,NBA,PF,10,10,337,13.6,26.2,.521,0.3,0.3,1.000,13.3,25.9,.515,6.4,7.1,.891,3.4,9.5,12.9,1.6,0.6,2.2,1.7,2.8,34.0,,117,102,https://www.basketball-reference.com/players/a/aldrila01.html
2016-17,31,SAS,NBA,PF,16,16,537,10.5,23.0,.458,0.2,1.3,.143,10.4,21.7,.478,4.0,5.3,.764,4.1,7.3,11.4,2.3,1.0,1.5,2.7,3.9,25.3,,105,113,https://www.basketball-reference.com/players/a/aldrila01.html
2017-18,32,SAS,NBA,C,5,5,177,10.7,23.2,.463,0.9,1.5,.600,9.9,21.8,.453,11.9,12.2,.976,3.8,9.6,13.4,3.5,0.9,0.6,2.6,2.6,34.3,,121,113,https://www.basketball-reference.com/players/a/aldrila01.html
2018-19,33,SAS,NBA,C,7,7,244,11.8,25.9,.455,0.6,2.4,.273,11.1,23.6,.473,5.8,7.1,.818,4.1,10.3,14.3,4.1,1.1,1.5,1.5,4.5,30.0,,113,112,https://www.basketball-reference.com/players/a/aldrila01.html
2018-19,23,UTA,NBA,SG,2,0,14,7.0,24.3,.286,0.0,10.4,.000,7.0,13.9,.500,17.4,24.3,.714,0.0,3.5,3.5,0.0,0.0,0.0,0.0,0.0,31.3,,100,117,https://www.basketball-reference.com/players/a/allengr01.html
2018-19,20,BRK,NBA,C,5,5,110,7.9,13.4,.594,0.0,0.0,,7.9,13.4,.594,7.1,8.4,.850,6.3,7.9,14.2,4.6,1.3,1.3,3.3,5.4,23.0,,130,115,https://www.basketball-reference.com/players/a/allenja01.html
