Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link
2013-14,20,OKC,NBA,C,81,20,1197,2.8,5.6,.503,0.0,0.0,,2.8,5.6,.503,2.4,4.1,.581,4.3,5.7,10.0,1.3,1.2,1.7,2.1,6.1,8.0,https://www.basketball-reference.com/players/a/adamsst01.html
2014-15,21,OKC,NBA,C,70,67,1771,4.4,8.1,.544,0.0,0.0,.000,4.4,8.1,.547,2.1,4.2,.502,4.0,6.6,10.6,1.3,0.8,1.7,2.0,4.5,10.9,https://www.basketball-reference.com/players/a/adamsst01.html
2015-16,22,OKC,NBA,C,80,80,2014,4.7,7.6,.613,0.0,0.0,,4.7,7.6,.613,2.0,3.5,.582,3.9,5.6,9.5,1.1,0.8,1.6,1.5,4.0,11.4,https://www.basketball-reference.com/players/a/adamsst01.html
2016-17,23,OKC,NBA,C,80,80,2389,5.6,9.9,.571,0.0,0.0,.000,5.6,9.9,.572,2.4,3.9,.611,4.2,5.0,9.2,1.3,1.3,1.2,2.2,2.9,13.6,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,24,OKC,NBA,C,76,76,2487,6.5,10.3,.629,0.0,0.0,.000,6.5,10.3,.631,2.3,4.1,.559,5.6,4.4,9.9,1.3,1.3,1.1,1.9,3.1,15.3,https://www.basketball-reference.com/players/a/adamsst01.html
2018-19,25,OKC,NBA,C,80,80,2669,6.5,10.9,.595,0.0,0.0,.000,6.5,10.9,.596,2.0,3.9,.500,5.3,5.0,10.3,1.7,1.6,1.0,1.8,2.8,14.9,https://www.basketball-reference.com/players/a/adamsst01.html
2019-20,26,OKC,NBA,C,63,63,1680,6.1,10.2,.592,0.0,0.1,.333,6.0,10.2,.594,2.5,4.3,.582,4.4,8.1,12.5,3.1,1.1,1.4,2.0,2.6,14.7,https://www.basketball-reference.com/players/a/adamsst01.html
2017-18,20,MIA,NBA,C,69,19,1368,4.6,8.9,.512,0.0,0.2,.000,4.6,8.8,.523,3.4,4.7,.721,3.1,6.9,10.0,2.7,0.8,1.1,1.7,3.6,12.6,https://www.basketball-reference.com/players/a/adebaba01.html
2018-19,21,MIA,NBA,C,82,28,1913,5.3,9.1,.576,0.1,0.3,.200,5.2,8.9,.588,3.1,4.3,.735,3.1,8.1,11.2,3.5,1.3,1.2,2.3,3.8,13.7,https://www.basketball-reference.com/players/a/adebaba01.html
2019-20,22,MIA,NBA,PF,72,72,2417,6.6,11.8,.557,0.0,0.2,.143,6.5,11.6,.564,3.9,5.7,.691,2.6,8.3,10.9,5.5,1.2,1.4,3.0,2.7,17.1,https://www.basketball-reference.com/players/a/adebaba01.html
2018-19,21,CLE,NBA,SF,19,3,194,2.0,6.7,.306,1.1,4.3,.261,0.9,2.4,.385,0.7,0.7,1.000,0.6,3.0,3.5,0.9,0.2,0.7,1.1,2.4,5.9,https://www.basketball-reference.com/players/a/adelde01.html
2010-11,24,GSW,NBA,PF,23,0,196,4.2,9.9,.426,0.0,0.0,,4.2,9.9,.426,2.0,3.5,.579,4.2,6.4,10.7,1.8,0.7,0.9,1.7,5.1,10.5,https://www.basketball-reference.com/players/a/adrieje01.html
2011-12,25,HOU,NBA,PF,8,0,63,4.0,9.1,.438,0.0,0.0,,4.0,9.1,.438,4.0,6.9,.583,2.9,9.7,12.6,0.6,0.0,1.1,1.1,7.4,12.0,https://www.basketball-reference.com/players/a/adrieje01.html
2012-13,26,CHA,NBA,PF,52,5,713,3.6,8.5,.429,0.0,0.1,.000,3.6,8.4,.434,3.3,5.0,.650,3.4,6.5,9.9,1.8,0.9,1.4,1.6,4.0,10.6,https://www.basketball-reference.com/players/a/adrieje01.html
2013-14,27,TOT,NBA,PF,53,12,961,5.4,10.3,.520,0.0,0.0,,5.4,10.3,.520,2.8,4.5,.639,3.8,7.6,11.5,1.4,0.9,1.3,1.5,4.0,13.6,https://www.basketball-reference.com/players/a/adrieje01.html
2013-14,27,CHA,NBA,PF,25,0,256,3.1,5.6,.550,0.0,0.0,,3.1,5.6,.550,1.8,3.5,.520,4.6,7.7,12.4,1.0,1.0,2.1,1.1,4.9,8.0,https://www.basketball-reference.com/players/a/adrieje01.html
2013-14,27,MIL,NBA,PF,28,12,705,6.2,12.0,.515,0.0,0.0,,6.2,12.0,.515,3.2,4.8,.670,3.5,7.6,11.1,1.6,0.9,1.1,1.6,3.7,15.6,https://www.basketball-reference.com/players/a/adrieje01.html
2014-15,28,MIN,NBA,PF,17,0,215,3.2,7.4,.432,0.0,0.0,,3.2,7.4,.432,3.7,6.4,.579,3.9,9.0,12.9,2.5,0.7,1.5,1.5,5.0,10.0,https://www.basketball-reference.com/players/a/adrieje01.html
2007-08,22,DET,NBA,SG,75,9,970,3.7,8.9,.411,0.4,1.8,.208,3.3,7.2,.461,2.5,3.2,.782,1.3,3.7,5.1,1.9,1.2,0.3,1.3,3.1,10.2,https://www.basketball-reference.com/players/a/afflaar01.html
2008-09,23,DET,NBA,SG,74,8,1234,3.8,8.8,.437,1.3,3.1,.402,2.6,5.6,.456,1.7,2.1,.817,0.9,3.0,3.9,1.3,0.8,0.4,1.3,4.2,10.6,https://www.basketball-reference.com/players/a/afflaar01.html
2009-10,24,DEN,NBA,SG,82,75,2221,4.4,9.5,.465,1.8,4.0,.434,2.7,5.4,.488,1.2,1.6,.735,1.0,3.1,4.1,2.2,0.7,0.5,1.2,3.6,11.7,https://www.basketball-reference.com/players/a/afflaar01.html
2010-11,25,DEN,NBA,SG,69,69,2324,4.8,9.7,.498,1.6,3.8,.423,3.2,5.9,.546,2.1,2.5,.847,0.7,3.2,3.9,2.6,0.5,0.5,1.1,2.4,13.4,https://www.basketball-reference.com/players/a/afflaar01.html
2011-12,26,DEN,NBA,SG,62,62,2086,5.7,12.1,.471,1.5,3.8,.398,4.2,8.2,.504,3.4,4.3,.798,0.7,2.7,3.4,2.6,0.6,0.2,1.5,2.3,16.3,https://www.basketball-reference.com/players/a/afflaar01.html
2012-13,27,ORL,NBA,SF,64,64,2307,6.2,14.1,.439,1.1,3.7,.300,5.1,10.4,.489,3.0,3.5,.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5,https://www.basketball-reference.com/players/a/afflaar01.html
2013-14,28,ORL,NBA,SG,73,73,2552,6.5,14.3,.459,1.8,4.2,.427,4.7,10.0,.473,3.9,4.7,.815,0.5,3.2,3.7,3.5,0.5,0.0,2.1,1.9,18.8,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,TOT,NBA,SG,78,72,2502,5.4,12.7,.424,1.7,4.8,.354,3.7,7.9,.466,2.4,2.8,.843,0.4,3.2,3.6,1.9,0.6,0.1,1.7,2.4,14.9,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,DEN,NBA,SG,53,53,1750,5.8,13.5,.428,1.7,5.0,.337,4.1,8.5,.481,2.6,3.1,.841,0.4,3.3,3.7,2.1,0.7,0.1,1.7,2.2,15.9,https://www.basketball-reference.com/players/a/afflaar01.html
2014-15,29,POR,NBA,SG,25,19,752,4.5,10.9,.414,1.7,4.3,.400,2.8,6.6,.423,1.9,2.3,.851,0.3,2.9,3.2,1.3,0.4,0.1,1.6,2.8,12.6,https://www.basketball-reference.com/players/a/afflaar01.html
2015-16,30,NYK,NBA,SG,71,57,2371,5.4,12.1,.443,1.4,3.6,.382,4.0,8.5,.469,1.7,2.0,.840,0.3,3.7,4.0,2.2,0.4,0.2,1.2,2.2,13.8,https://www.basketball-reference.com/players/a/afflaar01.html
2016-17,31,SAC,NBA,SG,61,45,1580,4.2,9.6,.440,1.4,3.4,.411,2.8,6.1,.457,1.9,2.1,.892,0.2,2.6,2.8,1.8,0.5,0.1,1.0,2.4,11.7,https://www.basketball-reference.com/players/a/afflaar01.html
2017-18,32,ORL,NBA,SG,53,3,682,3.4,8.6,.401,1.4,3.7,.386,2.0,4.9,.413,1.2,1.4,.846,0.2,3.3,3.5,1.6,0.2,0.5,1.1,3.0,9.4,https://www.basketball-reference.com/players/a/afflaar01.html
2006-07,22,DAL,NBA,SG,32,1,214,3.7,11.8,.314,0.8,2.5,.333,2.9,9.3,.309,3.4,5.6,.606,0.2,3.4,3.5,1.2,0.7,0.5,2.5,4.5,11.6,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,TOT,NBA,SG,26,3,165,4.6,14.2,.323,0.7,4.1,.158,3.9,10.0,.391,1.3,2.6,.500,0.9,2.0,2.8,1.7,0.0,0.2,1.3,3.7,11.1,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,DAL,NBA,SG,12,3,77,2.3,12.6,.185,0.0,3.7,.000,2.3,8.9,.263,2.3,2.8,.833,0.5,1.4,1.9,1.9,0.0,0.5,1.4,5.1,7.0,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,NJN,NBA,SG,14,0,88,6.5,15.5,.421,1.2,4.5,.273,5.3,11.0,.481,0.4,2.5,.167,1.2,2.5,3.7,1.6,0.0,0.0,1.2,2.5,14.7,https://www.basketball-reference.com/players/a/agerma01.html
2008-09,24,NJN,NBA,SG,20,0,97,5.6,16.0,.349,0.0,2.2,.000,5.6,13.7,.405,1.5,3.0,.500,1.1,2.6,3.7,1.1,0.4,0.7,1.5,6.3,12.6,https://www.basketball-reference.com/players/a/agerma01.html
2010-11,26,MIN,NBA,SG,4,0,29,7.4,13.7,.545,3.7,5.0,.750,3.7,8.7,.429,0.0,0.0,,0.0,2.5,2.5,1.2,1.2,0.0,5.0,5.0,18.6,https://www.basketball-reference.com/players/a/agerma01.html
2007-08,23,MIA,NBA,PG,12,0,177,3.1,11.6,.263,2.0,6.9,.294,1.0,4.7,.217,6.1,6.3,.968,0.2,3.7,3.9,3.9,1.2,0.0,3.3,4.1,14.2,https://www.basketball-reference.com/players/a/ahearbl01.html
2008-09,24,SAS,NBA,PG,3,0,19,3.8,11.4,.333,3.8,7.6,.500,0.0,3.8,.000,3.8,3.8,1.000,0.0,1.9,1.9,3.8,1.9,0.0,1.9,5.7,15.2,https://www.basketball-reference.com/players/a/ahearbl01.html
2011-12,27,UTA,NBA,PG,4,0,30,4.8,16.8,.286,2.4,10.8,.222,2.4,6.0,.400,0.0,0.0,,0.0,2.4,2.4,1.2,0.0,0.0,6.0,4.8,12.0,https://www.basketball-reference.com/players/a/ahearbl01.html
2008-09,20,CHA,NBA,PF,31,4,182,4.9,13.6,.362,0.0,0.4,.000,4.9,13.3,.373,4.0,5.5,.714,1.8,4.2,5.9,0.6,1.4,1.2,2.4,6.7,13.8,https://www.basketball-reference.com/players/a/ajincal01.html
2009-10,21,CHA,NBA,C,6,0,30,6.0,12.0,.500,0.0,0.0,,6.0,12.0,.500,0.0,1.2,.000,1.2,3.6,4.8,0.0,1.2,1.2,2.4,6.0,12.0,https://www.basketball-reference.com/players/a/ajincal01.html
2010-11,22,TOT,NBA,C,34,2,340,6.2,14.1,.444,1.3,3.6,.353,5.0,10.5,.475,1.4,1.9,.722,1.8,6.5,8.3,1.1,1.2,2.0,1.9,7.7,15.1,https://www.basketball-reference.com/players/a/ajincal01.html
2010-11,22,DAL,NBA,C,10,2,75,5.8,15.4,.375,1.4,3.4,.429,4.3,12.0,.360,1.0,1.4,.667,2.4,5.8,8.2,1.0,1.4,2.4,0.5,6.2,13.9,https://www.basketball-reference.com/players/a/ajincal01.html
2010-11,22,TOR,NBA,C,24,0,265,6.4,13.7,.465,1.2,3.7,.333,5.2,10.1,.514,1.5,2.0,.733,1.6,6.7,8.3,1.1,1.1,1.9,2.3,8.2,15.5,https://www.basketball-reference.com/players/a/ajincal01.html
2013-14,25,NOP,NBA,C,56,30,951,5.1,9.4,.546,0.0,0.0,.000,5.1,9.4,.548,2.1,2.5,.836,3.6,6.9,10.5,1.5,0.9,1.7,2.4,7.1,12.4,https://www.basketball-reference.com/players/a/ajincal01.html
2014-15,26,NOP,NBA,C,68,8,957,6.8,12.4,.550,0.0,0.0,,6.8,12.4,.550,3.0,3.7,.818,3.9,7.9,11.8,1.8,0.8,1.9,2.6,5.7,16.7,https://www.basketball-reference.com/players/a/ajincal01.html
2015-16,27,NOP,NBA,C,59,17,861,6.3,13.2,.476,0.0,0.0,.000,6.3,13.1,.478,2.2,2.6,.839,3.1,8.1,11.2,1.3,0.8,1.5,2.3,5.6,14.7,https://www.basketball-reference.com/players/a/ajincal01.html
2016-17,28,NOP,NBA,C,39,15,584,5.5,11.0,.500,0.0,0.2,.000,5.5,10.7,.511,1.8,2.5,.725,2.8,8.1,10.9,0.7,1.2,1.4,1.9,4.7,12.8,https://www.basketball-reference.com/players/a/ajincal01.html
2012-13,26,DAL,NBA,PG,3,0,9,8.0,16.0,.500,4.0,8.0,.500,4.0,8.0,.500,0.0,0.0,,0.0,4.0,4.0,4.0,0.0,0.0,0.0,12.0,20.0,https://www.basketball-reference.com/players/a/akognjo01.html
2018-19,25,DEN,NBA,SG,7,0,22,4.9,16.4,.300,0.0,6.5,.000,4.9,9.8,.500,1.6,3.3,.500,1.6,4.9,6.5,9.8,3.3,0.0,3.3,6.5,11.5,https://www.basketball-reference.com/players/a/akoonde01.html
2010-11,22,TOR,NBA,C,12,0,59,1.8,9.2,.200,0.0,0.0,,1.8,9.2,.200,0.0,1.2,.000,4.3,4.3,8.5,1.2,1.2,1.2,1.8,3.1,3.7,https://www.basketball-reference.com/players/a/alabiso01.html
2011-12,23,TOR,NBA,C,14,0,122,3.8,10.6,.361,0.0,0.0,,3.8,10.6,.361,2.1,2.4,.875,4.4,9.4,13.9,0.9,0.6,2.7,1.5,3.2,9.7,https://www.basketball-reference.com/players/a/alabiso01.html
2014-15,23,PHI,NBA,PF,41,9,540,2.7,5.2,.513,0.0,0.3,.000,2.7,4.9,.548,0.9,1.8,.481,5.2,6.5,11.7,1.9,1.1,1.1,1.1,6.4,6.2,https://www.basketball-reference.com/players/a/aldemfu01.html
2010-11,22,OKC,NBA,C,18,0,142,2.0,3.8,.533,0.0,0.0,,2.0,3.8,.533,0.5,1.0,.500,3.3,5.6,8.9,1.0,1.3,1.8,2.0,7.6,4.6,https://www.basketball-reference.com/players/a/aldrico01.html
2011-12,23,OKC,NBA,C,26,0,173,4.6,8.7,.524,0.0,0.0,,4.6,8.7,.524,2.7,2.9,.929,2.7,7.3,10.0,0.6,1.7,3.3,1.9,4.6,11.9,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,TOT,NBA,C,45,0,388,4.1,7.4,.550,0.0,0.0,,4.1,7.4,.550,1.1,1.9,.600,2.8,8.4,11.1,0.8,0.5,2.1,2.1,5.6,9.3,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,HOU,NBA,C,30,0,213,3.9,7.3,.535,0.0,0.0,,3.9,7.3,.535,0.7,1.5,.444,2.0,7.6,9.6,1.0,0.5,1.5,2.4,6.9,8.5,https://www.basketball-reference.com/players/a/aldrico01.html
2012-13,24,SAC,NBA,C,15,0,175,4.3,7.6,.568,0.0,0.0,,4.3,7.6,.568,1.6,2.3,.727,3.7,9.3,13.0,0.6,0.4,2.9,1.9,3.9,10.3,https://www.basketball-reference.com/players/a/aldrico01.html
2013-14,25,NYK,NBA,C,46,2,330,3.6,6.7,.541,0.0,0.0,,3.6,6.7,.541,2.8,3.3,.867,4.0,10.0,14.1,1.5,0.9,3.3,2.0,4.4,10.0,https://www.basketball-reference.com/players/a/aldrico01.html
2014-15,26,NYK,NBA,C,61,16,976,5.3,11.1,.478,0.0,0.0,,5.3,11.1,.478,1.8,2.4,.781,3.7,8.7,12.5,2.8,1.4,2.4,2.2,4.5,12.5,https://www.basketball-reference.com/players/a/aldrico01.html
2015-16,27,LAC,NBA,C,60,5,800,6.0,10.1,.596,0.0,0.0,,6.0,10.1,.596,2.7,3.8,.714,3.9,9.1,13.0,2.3,2.1,3.1,2.9,6.3,14.8,https://www.basketball-reference.com/players/a/aldrico01.html
2016-17,28,MIN,NBA,C,62,0,531,3.1,5.8,.523,0.0,0.0,,3.1,5.8,.523,1.0,1.5,.682,3.5,7.3,10.7,1.7,1.7,1.6,1.2,5.8,7.1,https://www.basketball-reference.com/players/a/aldrico01.html
2017-18,29,MIN,NBA,C,21,0,49,3.7,11.0,.333,0.0,0.0,,3.7,11.0,.333,1.5,4.4,.333,2.2,8.8,11.0,2.2,1.5,0.7,0.7,8.1,8.8,https://www.basketball-reference.com/players/a/aldrico01.html
2006-07,21,POR,NBA,C,63,22,1392,6.2,12.4,.503,0.0,0.1,.000,6.2,12.3,.505,2.1,3.0,.722,3.7,4.3,8.1,0.6,0.6,1.9,1.1,4.8,14.6,https://www.basketball-reference.com/players/a/aldrila01.html
2007-08,22,POR,NBA,PF,76,76,2649,7.6,15.8,.484,0.0,0.1,.143,7.6,15.7,.486,3.1,4.0,.762,3.0,4.9,7.9,1.7,0.7,1.3,1.7,3.3,18.3,https://www.basketball-reference.com/players/a/aldrila01.html
