Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link
2008-09,23,POR,NBA,PF,81,81,3004,7.2,14.9,.484,0.1,0.3,.250,7.1,14.6,.489,3.1,4.0,.781,2.8,4.4,7.3,1.9,0.9,0.9,1.5,2.5,17.6,https://www.basketball-reference.com/players/a/aldrila01.html
2009-10,24,POR,NBA,PF,78,78,2922,7.1,14.4,.495,0.1,0.2,.313,7.1,14.2,.498,2.8,3.7,.757,2.4,5.4,7.7,2.0,0.8,0.6,1.3,2.8,17.2,https://www.basketball-reference.com/players/a/aldrila01.html
2010-11,25,POR,NBA,PF,81,81,3211,7.9,15.9,.500,0.0,0.3,.174,7.9,15.6,.505,3.9,5.0,.791,3.1,4.8,7.9,1.9,0.9,1.1,1.7,2.5,19.8,https://www.basketball-reference.com/players/a/aldrila01.html
2011-12,26,POR,NBA,PF,55,55,1994,8.7,17.0,.512,0.0,0.2,.182,8.7,16.8,.516,4.0,4.9,.814,2.7,5.3,8.0,2.4,0.9,0.8,2.0,2.8,21.5,https://www.basketball-reference.com/players/a/aldrila01.html
2012-13,27,POR,NBA,PF,74,74,2790,8.2,17.0,.484,0.0,0.2,.143,8.2,16.8,.488,3.6,4.5,.810,2.3,6.4,8.6,2.5,0.8,1.2,1.8,2.4,20.1,https://www.basketball-reference.com/players/a/aldrila01.html
2013-14,28,POR,NBA,PF,69,69,2498,9.4,20.5,.458,0.0,0.2,.200,9.4,20.3,.461,4.3,5.2,.822,2.4,8.6,11.0,2.6,0.9,1.0,1.8,2.1,23.1,https://www.basketball-reference.com/players/a/aldrila01.html
2014-15,29,POR,NBA,PF,71,71,2512,9.4,20.3,.466,0.5,1.5,.352,8.9,18.8,.475,4.4,5.2,.845,2.5,7.9,10.4,1.8,0.7,1.0,1.7,1.8,23.8,https://www.basketball-reference.com/players/a/aldrila01.html
2015-16,30,SAS,NBA,PF,74,74,2261,8.5,16.6,.513,0.0,0.3,.000,8.5,16.4,.521,4.1,4.8,.858,2.8,7.3,10.1,1.8,0.6,1.3,1.6,2.4,21.2,https://www.basketball-reference.com/players/a/aldrila01.html
2016-17,31,SAS,NBA,PF,72,72,2335,7.7,16.2,.477,0.4,0.9,.411,7.4,15.3,.480,3.4,4.2,.812,2.7,5.4,8.1,2.1,0.7,1.4,1.5,2.4,19.2,https://www.basketball-reference.com/players/a/aldrila01.html
2017-18,32,SAS,NBA,C,75,75,2509,9.9,19.3,.510,0.4,1.3,.293,9.5,18.0,.526,4.8,5.7,.837,3.5,5.6,9.1,2.2,0.6,1.3,1.6,2.3,24.9,https://www.basketball-reference.com/players/a/aldrila01.html
2018-19,33,SAS,NBA,C,81,81,2687,9.2,17.7,.519,0.1,0.6,.238,9.0,17.1,.528,4.7,5.5,.847,3.4,6.6,10.0,2.6,0.6,1.4,1.9,2.4,23.1,https://www.basketball-reference.com/players/a/aldrila01.html
2019-20,34,SAS,NBA,C,53,53,1754,8.0,16.3,.493,1.3,3.2,.389,6.8,13.1,.519,3.2,3.9,.827,2.1,5.9,8.0,2.6,0.7,1.8,1.5,2.6,20.5,https://www.basketball-reference.com/players/a/aldrila01.html
2015-16,20,POR,NBA,PF,8,0,36,5.0,10.0,.500,0.0,0.0,,5.0,10.0,.500,0.0,0.0,,2.0,4.0,6.0,0.0,1.0,2.0,1.0,1.0,10.0,https://www.basketball-reference.com/players/a/alexacl01.html
2008-09,22,MIL,NBA,SF,59,0,716,5.1,12.3,.416,0.8,2.3,.348,4.3,10.0,.432,2.9,4.2,.699,2.2,3.6,5.8,2.1,0.8,1.5,2.6,5.4,14.0,https://www.basketball-reference.com/players/a/alexajo01.html
2009-10,23,CHI,NBA,SF,8,0,29,1.2,7.4,.167,0.0,1.2,.000,1.2,6.2,.200,2.5,3.7,.667,2.5,3.7,6.2,2.5,1.2,1.2,0.0,11.2,5.0,https://www.basketball-reference.com/players/a/alexajo01.html
2019-20,23,MIA,NBA,C,2,0,13,2.8,5.5,.500,0.0,0.0,,2.8,5.5,.500,0.0,0.0,,5.5,2.8,8.3,0.0,0.0,0.0,2.8,2.8,5.5,https://www.basketball-reference.com/players/a/alexaky01.html
2019-20,21,NOP,NBA,SG,47,1,591,6.0,16.2,.368,2.8,8.1,.346,3.2,8.1,.391,1.5,2.3,.676,0.5,4.6,5.1,5.4,1.0,0.5,3.3,3.5,16.3,https://www.basketball-reference.com/players/a/alexani01.html
