Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link
2009-10,21,MIA,NBA,PF,5,5,135,5.9,13.1,.449,0.3,0.5,.500,5.6,12.5,.447,1.9,2.4,.778,2.7,5.1,7.7,0.8,1.1,0.0,3.5,2.7,13.9,https://www.basketball-reference.com/players/b/beaslmi01.html
2013-14,25,MIA,NBA,SF,4,0,23,7.8,15.7,.500,0.0,0.0,,7.8,15.7,.500,1.6,4.7,.333,3.1,3.1,6.3,3.1,0.0,0.0,1.6,4.7,17.2,https://www.basketball-reference.com/players/b/beaslmi01.html
2015-16,27,HOU,NBA,PF,5,0,80,9.9,20.7,.478,0.9,2.7,.333,9.0,18.0,.500,2.7,3.2,.857,1.8,7.7,9.5,1.4,0.5,0.0,3.2,3.6,23.4,https://www.basketball-reference.com/players/b/beaslmi01.html
2016-17,28,MIL,NBA,PF,4,0,48,5.2,15.0,.350,2.3,3.7,.600,3.0,11.3,.267,0.0,3.0,.000,1.5,5.2,6.8,0.7,0.7,0.7,1.5,6.0,12.7,https://www.basketball-reference.com/players/b/beaslmi01.html
2009-10,21,DAL,NBA,PG,4,0,31,10.5,22.1,.474,2.3,7.0,.333,8.1,15.1,.538,1.2,3.5,.333,2.3,4.6,7.0,4.6,0.0,0.0,3.5,5.8,24.4,https://www.basketball-reference.com/players/b/beaubro01.html
2011-12,23,DAL,NBA,PG,2,0,12,0.0,6.0,.000,0.0,3.0,.000,0.0,3.0,.000,0.0,0.0,,0.0,3.0,3.0,6.0,0.0,0.0,3.0,3.0,0.0,https://www.basketball-reference.com/players/b/beaubro01.html
2010-11,24,NOH,NBA,SG,6,6,173,4.8,13.1,.365,1.7,5.4,.308,3.1,7.7,.405,0.8,0.8,1.000,0.0,1.0,1.0,0.8,1.0,0.0,0.8,2.5,12.1,https://www.basketball-reference.com/players/b/belinma01.html
2012-13,26,CHI,NBA,SG,12,7,325,4.9,11.9,.411,1.8,5.2,.340,3.1,6.6,.467,3.2,3.7,.879,0.0,3.9,3.9,3.4,0.6,0.0,1.7,2.9,14.7,https://www.basketball-reference.com/players/b/belinma01.html
2013-14,27,SAS,NBA,SF,23,0,356,4.4,10.0,.444,1.6,3.8,.421,2.8,6.2,.459,2.1,2.2,.955,0.4,4.9,5.3,1.9,0.3,0.0,1.2,2.3,12.6,https://www.basketball-reference.com/players/b/belinma01.html
2014-15,28,SAS,NBA,SG,7,0,116,6.2,12.1,.513,4.3,9.3,.467,1.9,2.8,.667,3.4,4.0,.846,0.6,3.4,4.0,3.1,0.6,0.0,1.6,3.1,20.2,https://www.basketball-reference.com/players/b/belinma01.html
2017-18,31,PHI,NBA,SG,10,0,273,5.7,14.0,.406,2.1,6.1,.348,3.6,7.9,.450,3.6,4.1,.871,0.1,2.6,2.8,2.6,0.9,0.0,0.5,2.6,17.0,https://www.basketball-reference.com/players/b/belinma01.html
2018-19,32,SAS,NBA,SG,7,0,131,3.8,10.4,.368,2.2,5.8,.381,1.6,4.7,.353,1.4,1.6,.833,0.0,3.6,3.6,2.2,0.0,0.5,0.5,1.9,11.3,https://www.basketball-reference.com/players/b/belinma01.html
2017-18,23,GSW,NBA,C,17,0,173,3.5,6.7,.531,0.0,0.2,.000,3.5,6.5,.548,1.5,2.9,.500,3.1,6.7,9.8,3.1,1.2,1.9,1.2,3.7,8.5,https://www.basketball-reference.com/players/b/belljo01.html
2018-19,24,GSW,NBA,C,15,2,106,5.8,10.5,.548,0.0,0.0,,5.8,10.5,.548,2.4,3.4,.700,2.4,4.1,6.5,3.7,1.4,2.4,0.7,4.4,13.9,https://www.basketball-reference.com/players/b/belljo01.html
2016-17,24,SAS,NBA,PF,13,0,112,3.9,8.7,.444,2.6,6.4,.400,1.3,2.3,.571,1.3,1.9,.667,1.6,4.8,6.4,1.0,1.0,1.3,1.9,2.3,11.6,https://www.basketball-reference.com/players/b/bertada01.html
2017-18,25,SAS,NBA,PF,5,0,82,1.3,7.9,.167,1.3,7.0,.188,0.0,0.9,.000,3.5,4.8,.727,0.4,4.4,4.8,2.6,0.9,0.0,0.4,4.4,7.5,https://www.basketball-reference.com/players/b/bertada01.html
2018-19,26,SAS,NBA,PF,5,0,79,2.3,6.8,.333,1.4,5.0,.273,0.9,1.8,.500,1.4,2.3,.600,0.0,3.6,3.6,2.3,0.0,0.5,0.5,4.6,7.3,https://www.basketball-reference.com/players/b/bertada01.html
