Season,Age,Tm,Lg,Pos,G,MP,PG%_Position Estimate,SG%_Position Estimate,SF%_Position Estimate,PF%_Position Estimate,C%_Position Estimate,OnCourt_+/- Per 100 Poss.,On-Off_+/- Per 100 Poss.,BadPass_Turnovers,LostBall_Turnovers,Shoot_Fouls Committed,Off._Fouls Committed,Shoot_Fouls Drawn,Off._Fouls Drawn,PGA_Misc.,And1_Misc.,Blkd_Misc.,Player_link
2011-12,22,PHI,NBA,PF,12,236,,,,39%,61%,+8.7,+15.2,2,1,13,2,7,0,7,2,5,https://www.basketball-reference.com/players/a/allenla01.html
2013-14,24,IND,NBA,PF,4,15,,,,,100%,+5.1,+5.9,0,0,1,0,0,0,2,0,0,https://www.basketball-reference.com/players/a/allenla01.html
2015-16,26,IND,NBA,PF,6,51,,,,84%,16%,-24.4,-31.0,0,1,1,0,0,0,5,0,2,https://www.basketball-reference.com/players/a/allenla01.html
2016-17,27,IND,NBA,PF,3,11,,,,100%,,+28.6,+34.1,1,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/a/allenla01.html
2004-05,23,BOS,NBA,SG,7,90,,79%,21%,,,-6.2,-6.9,3,2,7,0,3,,4,1,2,https://www.basketball-reference.com/players/a/allento01.html
2007-08,26,BOS,NBA,SG,15,65,5%,90%,6%,,,+13.2,+7.4,0,1,3,0,3,0,7,1,0,https://www.basketball-reference.com/players/a/allento01.html
2008-09,27,BOS,NBA,SG,10,60,,55%,44%,1%,,-26.2,-29.1,0,1,3,0,1,0,6,1,1,https://www.basketball-reference.com/players/a/allento01.html
2009-10,28,BOS,NBA,SG,24,391,17%,82%,1%,,,+2.1,-1.4,12,5,24,4,15,3,38,4,12,https://www.basketball-reference.com/players/a/allento01.html
2010-11,29,MEM,NBA,SG,13,350,11%,89%,,,,-2.1,-2.9,14,3,16,4,14,2,40,0,11,https://www.basketball-reference.com/players/a/allento01.html
2011-12,30,MEM,NBA,SG,7,170,13%,87%,,,,+16.5,+32.0,5,4,8,0,8,0,10,1,4,https://www.basketball-reference.com/players/a/allento01.html
2012-13,31,MEM,NBA,SG,15,422,,91%,9%,,,+8.9,+18.4,9,6,21,2,26,3,60,6,13,https://www.basketball-reference.com/players/a/allento01.html
2013-14,32,MEM,NBA,SG,7,230,,91%,10%,,,-2.2,+9.0,5,4,12,0,10,2,19,3,9,https://www.basketball-reference.com/players/a/allento01.html
2014-15,33,MEM,NBA,SG,10,279,28%,72%,,,,+4.4,+9.9,5,3,9,1,5,1,31,2,2,https://www.basketball-reference.com/players/a/allento01.html
2015-16,34,MEM,NBA,SG,4,94,2%,98%,,,,-18.0,+13.0,4,2,4,0,6,1,6,0,3,https://www.basketball-reference.com/players/a/allento01.html
2014-15,24,DAL,NBA,SF,5,150,,,97%,3%,,+5.4,+29.6,3,1,3,2,8,1,14,1,4,https://www.basketball-reference.com/players/a/aminual01.html
2015-16,25,POR,NBA,SF,11,372,,,1%,96%,3%,-0.5,+5.2,13,3,12,3,12,1,51,1,5,https://www.basketball-reference.com/players/a/aminual01.html
2016-17,26,POR,NBA,PF,4,113,,,,60%,40%,-17.3,+1.4,4,3,5,2,2,0,9,0,4,https://www.basketball-reference.com/players/a/aminual01.html
2017-18,27,POR,NBA,PF,4,131,,,1%,97%,2%,-15.9,-20.5,2,2,3,1,1,1,12,0,1,https://www.basketball-reference.com/players/a/aminual01.html
2018-19,28,POR,NBA,PF,16,399,,,,99%,1%,-2.7,-2.1,5,3,13,5,14,0,47,4,11,https://www.basketball-reference.com/players/a/aminual01.html
2007-08,25,PHI,NBA,PF,2,10,,,,83%,17%,+47.4,+58.2,0,0,1,0,1,1,0,0,0,https://www.basketball-reference.com/players/a/amundlo01.html
2009-10,27,PHO,NBA,PF,16,194,,,5%,90%,5%,+5.2,-0.7,1,2,15,3,7,1,2,1,4,https://www.basketball-reference.com/players/a/amundlo01.html
2011-12,29,IND,NBA,PF,11,94,,,,94%,6%,-23.4,-30.8,2,1,7,1,2,2,4,0,2,https://www.basketball-reference.com/players/a/amundlo01.html
2013-14,31,BRK,NBA,SF,12,261,,16%,84%,,,-3.7,-4.1,4,3,12,3,8,2,36,3,3,https://www.basketball-reference.com/players/a/anderal01.html
2014-15,32,BRK,NBA,SG,6,142,,74%,26%,,,+6.3,+24.2,6,2,2,0,3,0,19,3,0,https://www.basketball-reference.com/players/a/anderal01.html
2011-12,22,SAS,NBA,SG,8,31,,35%,61%,4%,,+0.8,-6.7,0,0,0,0,1,0,7,0,0,https://www.basketball-reference.com/players/a/anderja01.html
2012-13,23,HOU,NBA,SG,2,18,,27%,63%,10%,,-27.6,-23.5,0,0,2,0,0,0,0,0,1,https://www.basketball-reference.com/players/a/anderja01.html
2015-16,22,DAL,NBA,SF,5,95,4%,10%,78%,8%,,-5.8,+22.7,3,0,3,2,6,2,18,0,1,https://www.basketball-reference.com/players/a/anderju01.html
2017-18,24,PHI,NBA,SF,7,33,,,94%,6%,,+8.9,+6.5,1,1,4,0,0,0,0,0,0,https://www.basketball-reference.com/players/a/anderju01.html
2019-20,26,BRK,NBA,SG,3,28,,61%,11%,29%,,-26.6,-6.1,1,0,1,1,1,0,7,0,0,https://www.basketball-reference.com/players/a/anderju01.html
2015-16,22,SAS,NBA,SF,10,129,,,90%,11%,,-2.9,-17.6,1,2,7,1,2,0,16,1,1,https://www.basketball-reference.com/players/a/anderky01.html
2016-17,23,SAS,NBA,SF,15,195,,4%,56%,40%,,-3.1,-5.1,5,1,6,0,7,0,58,3,2,https://www.basketball-reference.com/players/a/anderky01.html
2017-18,24,SAS,NBA,SF,5,73,,3%,75%,22%,,-8.5,+1.0,1,1,1,1,2,0,6,0,2,https://www.basketball-reference.com/players/a/anderky01.html
2009-10,21,ORL,NBA,PF,9,89,,,,100%,,-11.8,-25.2,3,1,6,0,1,0,7,1,2,https://www.basketball-reference.com/players/a/anderry01.html
2010-11,22,ORL,NBA,PF,6,147,,,,84%,16%,+6.8,+10.6,0,0,6,1,2,0,7,0,2,https://www.basketball-reference.com/players/a/anderry01.html
2011-12,23,ORL,NBA,PF,5,172,,,,74%,26%,-11.3,+5.0,3,1,6,4,4,3,11,1,5,https://www.basketball-reference.com/players/a/anderry01.html
2014-15,26,NOP,NBA,PF,4,95,,,,84%,16%,+2.9,+21.4,2,1,7,1,1,2,20,0,1,https://www.basketball-reference.com/players/a/anderry01.html
2016-17,28,HOU,NBA,PF,11,336,,,,81%,19%,-0.2,-5.0,1,5,10,2,8,1,17,0,2,https://www.basketball-reference.com/players/a/anderry01.html
2017-18,29,HOU,NBA,PF,11,95,,,,61%,39%,-28.2,-34.1,3,0,5,0,0,0,15,0,2,https://www.basketball-reference.com/players/a/anderry01.html
2014-15,20,MIL,NBA,SG,6,201,,50%,33%,17%,,-11.7,+1.6,2,4,7,3,12,0,33,3,6,https://www.basketball-reference.com/players/a/antetgi01.html
2016-17,22,MIL,NBA,SF,6,243,,,14%,85%,1%,+0.4,+11.8,10,4,9,4,22,0,60,6,9,https://www.basketball-reference.com/players/a/antetgi01.html
2017-18,23,MIL,NBA,PF,7,280,,,,74%,26%,-0.4,-4.7,10,3,12,2,26,1,106,7,5,https://www.basketball-reference.com/players/a/antetgi01.html
2018-19,24,MIL,NBA,PF,15,514,,,,57%,43%,+9.9,+1.9,14,18,16,9,81,2,194,22,19,https://www.basketball-reference.com/players/a/antetgi01.html
2019-20,25,MIL,NBA,PF,9,277,,,,65%,35%,+2.2,+2.4,3,9,10,11,37,1,134,6,8,https://www.basketball-reference.com/players/a/antetgi01.html
2003-04,19,DEN,NBA,SF,4,143,,,97%,3%,,-10.1,-14.0,4,5,3,3,7,,23,1,4,https://www.basketball-reference.com/players/a/anthoca01.html
2004-05,20,DEN,NBA,SF,5,180,,,93%,6%,,-10.7,+0.3,3,2,6,7,11,,23,2,13,https://www.basketball-reference.com/players/a/anthoca01.html
2005-06,21,DEN,NBA,SF,5,193,,,88%,12%,,-2.7,+31.7,4,3,3,4,18,1,30,2,7,https://www.basketball-reference.com/players/a/anthoca01.html
