Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link
2016-17,32,NYK,NBA,SF,1,0,19:00,4,8,.500,2,6,.333,0,0,,0,3,0,0,0,0,0,10,https://www.basketball-reference.com/players/a/anthoca01.html
2017-18,24,WAS,NBA,SG,1,0,16:51,5,10,.500,4,8,.500,0,0,,0,0,0,1,0,1,1,14,https://www.basketball-reference.com/players/b/bealbr01.html
2018-19,25,WAS,NBA,SG,1,0,17:42,4,11,.364,3,10,.300,0,0,,1,1,3,1,0,0,0,11,https://www.basketball-reference.com/players/b/bealbr01.html
2019-20,23,PHO,NBA,SG,1,0,19:00,3,8,.375,0,4,.000,0,0,,2,4,0,0,1,4,1,6,https://www.basketball-reference.com/players/b/bookede01.html
2005-06,21,TOR,NBA,C,1,0,16:35,3,7,.429,0,0,,2,3,.667,2,8,2,0,0,1,1,8,https://www.basketball-reference.com/players/b/boshch01.html
2006-07,22,TOR,NBA,C,1,1,22:29,5,7,.714,0,0,,1,2,.500,3,7,1,0,0,0,0,11,https://www.basketball-reference.com/players/b/boshch01.html
2007-08,23,TOR,NBA,C,1,1,21:32,7,15,.467,0,0,,0,2,.000,2,7,1,0,0,1,1,14,https://www.basketball-reference.com/players/b/boshch01.html
2008-09,24,TOR,NBA,C,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/players/b/boshch01.html
2009-10,25,TOR,NBA,C,1,0,29:08,9,16,.563,0,0,,5,7,.714,2,10,1,2,0,3,0,23,https://www.basketball-reference.com/players/b/boshch01.html
2010-11,26,MIA,NBA,PF,1,0,20:56,7,10,.700,0,1,.000,0,1,.000,2,5,2,0,1,3,0,14,https://www.basketball-reference.com/players/b/boshch01.html
2011-12,27,MIA,NBA,PF,1,0,20:08,3,9,.333,1,2,.500,0,0,,1,2,1,2,1,1,2,7,https://www.basketball-reference.com/players/b/boshch01.html
2012-13,28,MIA,NBA,C,1,1,23:22,3,9,.333,0,3,.000,0,0,,0,2,1,1,0,3,3,6,https://www.basketball-reference.com/players/b/boshch01.html
2013-14,29,MIA,NBA,C,1,0,10:07,2,3,.667,1,2,.500,0,0,,0,2,0,2,0,1,1,5,https://www.basketball-reference.com/players/b/boshch01.html
2014-15,30,MIA,NBA,C,1,0,10:55,4,6,.667,2,4,.500,0,0,,1,3,1,2,0,1,0,10,https://www.basketball-reference.com/players/b/boshch01.html
2015-16,31,MIA,NBA,PF,,0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/b/boshch01.html
2014-15,25,CHI,NBA,SG,1,0,9:13,3,4,.750,0,1,.000,0,0,,1,1,1,2,0,2,0,6,https://www.basketball-reference.com/players/b/butleji01.html
2015-16,26,CHI,NBA,SG,,0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/b/butleji01.html
2016-17,27,CHI,NBA,SF,1,1,19:29,3,4,.750,0,1,.000,0,0,,0,3,2,1,0,1,0,6,https://www.basketball-reference.com/players/b/butleji01.html
2017-18,28,MIN,NBA,SG,,0,0:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,https://www.basketball-reference.com/players/b/butleji01.html
2019-20,30,MIA,NBA,SF,1,0,12:55,2,2,1.000,0,0,,0,0,,2,3,2,2,0,4,0,4,https://www.basketball-reference.com/players/b/butleji01.html
2011-12,24,LAL,NBA,C,1,1,5:31,0,3,.000,0,1,.000,0,0,,1,3,1,1,1,0,0,0,https://www.basketball-reference.com/players/b/bynuman01.html
2014-15,24,SAC,NBA,C,1,0,18:06,6,7,.857,0,0,,2,3,.667,4,7,0,0,0,1,1,14,https://www.basketball-reference.com/players/c/couside01.html
2015-16,25,SAC,NBA,C,1,0,11:36,5,5,1.000,1,1,1.000,0,0,,1,4,1,0,0,0,2,11,https://www.basketball-reference.com/players/c/couside01.html
2016-17,26,SAC,NBA,C,1,0,2:27,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,0,0,3,https://www.basketball-reference.com/players/c/couside01.html
2017-18,27,NOP,NBA,C,,0,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/players/c/couside01.html
2013-14,25,GSW,NBA,PG,1,1,27:36,4,14,.286,2,11,.182,2,2,1.000,1,3,11,1,0,2,1,12,https://www.basketball-reference.com/players/c/curryst01.html
2014-15,26,GSW,NBA,PG,1,1,26:36,6,16,.375,3,10,.300,0,0,,4,9,5,1,0,5,1,15,https://www.basketball-reference.com/players/c/curryst01.html
2015-16,27,GSW,NBA,PG,1,1,28:50,10,18,.556,6,13,.462,0,0,,1,5,6,4,0,2,1,26,https://www.basketball-reference.com/players/c/curryst01.html
2016-17,28,GSW,NBA,PG,1,1,28:18,8,16,.500,5,11,.455,0,0,,1,4,6,1,0,0,3,21,https://www.basketball-reference.com/players/c/curryst01.html
2017-18,29,GSW,NBA,PG,1,1,26:35,4,14,.286,3,11,.273,0,0,,2,6,5,1,0,6,0,11,https://www.basketball-reference.com/players/c/curryst01.html
2018-19,30,GSW,NBA,PG,1,1,29:25,6,23,.261,4,17,.235,1,1,1.000,1,9,7,0,0,2,0,17,https://www.basketball-reference.com/players/c/curryst01.html
2013-14,20,NOP,NBA,PF,1,0,9:35,5,6,.833,0,0,,0,0,,0,1,0,2,0,1,0,10,https://www.basketball-reference.com/players/d/davisan02.html
2014-15,21,NOP,NBA,PF,,0,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/players/d/davisan02.html
2015-16,22,NOP,NBA,C,1,0,15:19,12,13,.923,0,0,,0,0,,3,6,0,1,0,0,1,24,https://www.basketball-reference.com/players/d/davisan02.html
2016-17,23,NOP,NBA,C,1,1,31:50,26,39,.667,0,4,.000,0,0,,4,10,0,2,0,1,1,52,https://www.basketball-reference.com/players/d/davisan02.html
2017-18,24,NOP,NBA,PF,1,1,16:40,6,9,.667,0,1,.000,0,0,,1,2,1,0,0,1,2,12,https://www.basketball-reference.com/players/d/davisan02.html
2018-19,25,NOP,NBA,C,1,0,4:53,2,2,1.000,1,1,1.000,0,0,,0,1,0,0,0,0,0,5,https://www.basketball-reference.com/players/d/davisan02.html
2019-20,26,LAL,NBA,PF,1,1,20:21,9,16,.563,1,6,.167,1,2,.500,2,9,1,3,3,1,3,20,https://www.basketball-reference.com/players/d/davisan02.html
2013-14,24,TOR,NBA,SG,1,0,14:52,4,7,.571,0,1,.000,0,0,,1,3,2,0,0,0,0,8,https://www.basketball-reference.com/players/d/derozde01.html
2015-16,26,TOR,NBA,SG,1,0,18:54,9,15,.600,0,3,.000,0,1,.000,1,1,2,1,0,1,0,18,https://www.basketball-reference.com/players/d/derozde01.html
2016-17,27,TOR,NBA,SG,1,1,24:02,8,15,.533,0,0,,0,0,,1,5,6,2,0,4,0,16,https://www.basketball-reference.com/players/d/derozde01.html
2017-18,28,TOR,NBA,SG,1,1,26:46,7,13,.538,1,3,.333,6,7,.857,2,6,2,2,0,2,1,21,https://www.basketball-reference.com/players/d/derozde01.html
2011-12,26,CHI,NBA,SF,1,0,5:51,0,2,.000,0,0,,0,0,,0,0,1,0,0,0,0,0,https://www.basketball-reference.com/players/d/denglu01.html
2012-13,27,CHI,NBA,SF,1,0,17:05,4,10,.400,1,5,.200,1,1,1.000,0,2,1,0,0,2,0,10,https://www.basketball-reference.com/players/d/denglu01.html
2019-20,20,DAL,NBA,PG,1,1,17:31,3,6,.500,2,5,.400,0,0,,0,1,4,1,0,0,0,8,https://www.basketball-reference.com/players/d/doncilu01.html
2017-18,31,MIA,NBA,PG,1,0,11:28,1,3,.333,0,1,.000,0,0,,0,4,1,0,0,1,2,2,https://www.basketball-reference.com/players/d/dragigo01.html
2015-16,22,DET,NBA,C,1,0,18:13,8,11,.727,0,1,.000,0,0,,5,13,0,2,0,1,1,16,https://www.basketball-reference.com/players/d/drumman01.html
2017-18,24,DET,NBA,C,1,0,17:36,7,7,1.000,0,0,,0,0,,1,3,0,0,1,1,2,14,https://www.basketball-reference.com/players/d/drumman01.html
2009-10,21,OKC,NBA,SF,1,0,20:17,7,14,.500,1,3,.333,0,0,,1,5,0,0,0,2,0,15,https://www.basketball-reference.com/players/d/duranke01.html
2010-11,22,OKC,NBA,SF,1,1,30:00,11,23,.478,4,11,.364,8,8,1.000,0,3,2,2,2,0,3,34,https://www.basketball-reference.com/players/d/duranke01.html
2011-12,23,OKC,NBA,SF,1,1,37:23,14,25,.560,3,8,.375,5,7,.714,3,7,3,3,0,2,0,36,https://www.basketball-reference.com/players/d/duranke01.html
2012-13,24,OKC,NBA,SF,1,1,31:22,13,24,.542,3,8,.375,1,1,1.000,0,6,1,2,0,0,3,30,https://www.basketball-reference.com/players/d/duranke01.html
2013-14,25,OKC,NBA,SF,1,1,34:43,14,27,.519,6,17,.353,4,4,1.000,3,10,6,1,0,1,0,38,https://www.basketball-reference.com/players/d/duranke01.html
2014-15,26,OKC,NBA,SF,1,0,9:55,1,6,.167,1,6,.167,0,0,,0,3,1,1,0,2,0,3,https://www.basketball-reference.com/players/d/duranke01.html
2015-16,27,OKC,NBA,SF,1,1,22:55,11,18,.611,1,8,.125,0,0,,2,5,7,2,0,0,0,23,https://www.basketball-reference.com/players/d/duranke01.html
2016-17,28,GSW,NBA,PF,1,1,27:09,9,16,.563,2,8,.250,1,2,.500,4,10,10,2,0,0,1,21,https://www.basketball-reference.com/players/d/duranke01.html
2017-18,29,GSW,NBA,SF,1,1,29:57,7,13,.538,3,8,.375,2,2,1.000,1,6,5,3,1,2,3,19,https://www.basketball-reference.com/players/d/duranke01.html
2018-19,30,GSW,NBA,SF,1,1,25:26,10,15,.667,6,9,.667,5,5,1.000,0,7,2,1,2,2,1,31,https://www.basketball-reference.com/players/d/duranke01.html
2017-18,23,PHI,NBA,C,1,1,20:05,8,13,.615,2,4,.500,1,1,1.000,3,8,1,1,2,0,3,19,https://www.basketball-reference.com/players/e/embiijo01.html
2018-19,24,PHI,NBA,C,1,1,23:11,4,12,.333,0,3,.000,2,4,.500,6,12,1,1,1,1,2,10,https://www.basketball-reference.com/players/e/embiijo01.html
2019-20,25,PHI,NBA,C,1,1,29:10,8,13,.615,0,2,.000,6,8,.750,2,10,1,0,0,2,3,22,https://www.basketball-reference.com/players/e/embiijo01.html
