Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,Player_link
2007-08,22,NOH,NBA,PG,1,0,27:16,7,14,.500,2,6,.333,0,0,,2,3,14,4,0,2,5,16,https://www.basketball-reference.com/players/p/paulch01.html
2008-09,23,NOH,NBA,PG,1,1,29:14,7,14,.500,0,1,.000,0,0,,1,7,14,3,0,1,4,14,https://www.basketball-reference.com/players/p/paulch01.html
2009-10,24,NOH,NBA,PG,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/players/p/paulch01.html
2010-11,25,NOH,NBA,PG,1,1,28:32,3,7,.429,2,3,.667,2,2,1.000,1,4,7,5,0,3,3,10,https://www.basketball-reference.com/players/p/paulch01.html
2011-12,26,LAC,NBA,PG,1,1,30:57,3,7,.429,2,5,.400,0,0,,0,5,12,1,0,2,1,8,https://www.basketball-reference.com/players/p/paulch01.html
2012-13,27,LAC,NBA,PG,1,1,27:17,7,10,.700,4,5,.800,2,3,.667,0,0,15,4,0,3,0,20,https://www.basketball-reference.com/players/p/paulch01.html
2013-14,28,LAC,NBA,PG,1,0,24:29,4,9,.444,1,4,.250,2,2,1.000,2,4,13,3,0,3,1,11,https://www.basketball-reference.com/players/p/paulch01.html
2014-15,29,LAC,NBA,PG,1,0,26:46,6,13,.462,0,3,.000,0,0,,1,6,15,2,0,2,0,12,https://www.basketball-reference.com/players/p/paulch01.html
2015-16,30,LAC,NBA,PG,1,0,19:10,5,7,.714,4,6,.667,0,0,,0,4,16,1,0,4,1,14,https://www.basketball-reference.com/players/p/paulch01.html
2019-20,34,OKC,NBA,PG,1,0,25:31,8,13,.615,7,11,.636,0,0,,0,2,6,0,0,2,4,23,https://www.basketball-reference.com/players/p/paulch01.html
2017-18,22,NYK,NBA,PF,,0,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/players/p/porzikr01.html
2009-10,23,BOS,NBA,PG,1,0,19:49,2,3,.667,0,0,,0,0,,1,1,5,1,0,2,1,4,https://www.basketball-reference.com/players/r/rondora01.html
2010-11,24,BOS,NBA,PG,1,0,20:34,3,5,.600,0,0,,0,0,,2,2,8,0,0,2,0,6,https://www.basketball-reference.com/players/r/rondora01.html
2011-12,25,BOS,NBA,PG,1,0,15:34,1,3,.333,0,0,,0,0,,0,2,8,0,0,4,1,2,https://www.basketball-reference.com/players/r/rondora01.html
2012-13,26,BOS,NBA,PG,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/players/r/rondora01.html
2009-10,21,CHI,NBA,PG,1,0,15:25,4,8,.500,0,0,,0,0,,0,0,4,3,0,1,0,8,https://www.basketball-reference.com/players/r/rosede01.html
2010-11,22,CHI,NBA,PG,1,1,29:57,5,13,.385,0,1,.000,1,2,.500,1,3,5,1,0,1,0,11,https://www.basketball-reference.com/players/r/rosede01.html
2011-12,23,CHI,NBA,PG,1,1,18:17,6,8,.750,2,2,1.000,0,0,,1,1,3,0,0,2,1,14,https://www.basketball-reference.com/players/r/rosede01.html
2007-08,23,POR,NBA,SG,1,0,28:34,8,10,.800,2,3,.667,0,0,,1,9,5,1,1,0,2,18,https://www.basketball-reference.com/players/r/roybr01.html
2008-09,24,POR,NBA,SG,1,0,31:10,7,8,.875,0,0,,0,0,,0,5,5,0,0,0,2,14,https://www.basketball-reference.com/players/r/roybr01.html
2009-10,25,POR,NBA,SG,,,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/players/r/roybr01.html
2018-19,22,BRK,NBA,PG,1,0,12:05,2,5,.400,2,5,.400,0,0,,0,1,3,0,0,1,0,6,https://www.basketball-reference.com/players/r/russeda01.html
2019-20,23,IND,NBA,PF,1,0,19:00,0,1,.000,0,0,,2,4,.500,3,6,0,0,0,1,0,2,https://www.basketball-reference.com/players/s/sabondo01.html
2019-20,25,TOR,NBA,PF,1,1,17:33,7,10,.700,0,2,.000,1,2,.500,0,6,0,1,0,1,4,15,https://www.basketball-reference.com/players/s/siakapa01.html
2018-19,22,PHI,NBA,PG,1,0,16:35,5,5,1.000,0,0,,0,0,,4,6,7,1,0,0,0,10,https://www.basketball-reference.com/players/s/simmobe01.html
2019-20,23,PHI,NBA,PG,1,0,29:18,8,9,.889,0,0,,1,2,.500,1,6,5,2,1,0,0,17,https://www.basketball-reference.com/players/s/simmobe01.html
2019-20,21,BOS,NBA,PF,1,0,13:37,3,8,.375,0,4,.000,0,0,,0,1,3,3,0,0,0,6,https://www.basketball-reference.com/players/t/tatumja01.html
2014-15,26,ATL,NBA,PG,1,0,13:27,6,9,.667,2,2,1.000,0,0,,0,1,2,2,0,1,0,14,https://www.basketball-reference.com/players/t/teaguje01.html
2015-16,26,BOS,NBA,PG,1,0,18:59,4,11,.364,1,5,.200,0,0,,3,3,1,1,0,1,1,9,https://www.basketball-reference.com/players/t/thomais02.html
2016-17,27,BOS,NBA,PG,1,0,18:48,7,15,.467,4,10,.400,2,2,1.000,1,1,3,0,0,2,0,20,https://www.basketball-reference.com/players/t/thomais02.html
2014-15,24,GSW,NBA,SG,1,1,19:43,2,11,.182,1,9,.111,2,2,1.000,1,4,6,0,0,0,0,7,https://www.basketball-reference.com/players/t/thompkl01.html
2015-16,25,GSW,NBA,SG,1,0,21:05,3,11,.273,3,10,.300,0,0,,1,2,2,1,0,0,0,9,https://www.basketball-reference.com/players/t/thompkl01.html
2016-17,26,GSW,NBA,SG,1,0,17:37,5,9,.556,2,6,.333,0,0,,0,2,5,0,0,0,1,12,https://www.basketball-reference.com/players/t/thompkl01.html
2017-18,27,GSW,NBA,SG,1,0,21:25,5,11,.455,5,10,.500,0,0,,1,4,0,0,0,1,0,15,https://www.basketball-reference.com/players/t/thompkl01.html
2018-19,28,GSW,NBA,SG,1,0,22:18,7,16,.438,6,12,.500,0,0,,1,8,4,1,0,0,2,20,https://www.basketball-reference.com/players/t/thompkl01.html
2017-18,22,MIN,NBA,C,1,0,18:11,7,11,.636,1,4,.250,2,2,1.000,4,10,0,0,0,1,0,17,https://www.basketball-reference.com/players/t/townska01.html
2018-19,23,MIN,NBA,C,1,0,11:08,5,7,.714,1,3,.333,0,0,,2,3,1,1,0,0,0,11,https://www.basketball-reference.com/players/t/townska01.html
2018-19,28,ORL,NBA,C,1,0,11:38,2,2,1.000,0,0,,0,0,,2,5,2,1,0,0,0,4,https://www.basketball-reference.com/players/v/vucevni01.html
2004-05,23,MIA,NBA,SG,1,0,23:28,6,13,.462,0,1,.000,2,2,1.000,2,3,1,2,1,1,2,14,https://www.basketball-reference.com/players/w/wadedw01.html
2005-06,24,MIA,NBA,SG,1,1,30:39,9,11,.818,0,0,,2,2,1.000,3,4,3,2,1,3,1,20,https://www.basketball-reference.com/players/w/wadedw01.html
2006-07,25,MIA,NBA,SG,1,1,24:22,5,12,.417,0,0,,0,0,,0,0,3,6,0,5,2,10,https://www.basketball-reference.com/players/w/wadedw01.html
2007-08,26,MIA,NBA,SG,1,1,21:48,7,12,.583,0,1,.000,0,2,.000,1,4,3,0,1,2,1,14,https://www.basketball-reference.com/players/w/wadedw01.html
2008-09,27,MIA,NBA,SG,1,1,26:39,6,13,.462,2,6,.333,4,7,.571,2,2,5,3,0,0,2,18,https://www.basketball-reference.com/players/w/wadedw01.html
2009-10,28,MIA,NBA,SG,1,1,31:20,12,16,.750,0,1,.000,4,6,.667,3,6,11,5,0,3,4,28,https://www.basketball-reference.com/players/w/wadedw01.html
2010-11,29,MIA,NBA,SG,1,1,20:16,6,9,.667,0,1,.000,2,2,1.000,1,4,2,1,0,4,2,14,https://www.basketball-reference.com/players/w/wadedw01.html
2011-12,30,MIA,NBA,SG,1,1,32:54,11,15,.733,0,1,.000,2,2,1.000,3,10,10,2,0,4,4,24,https://www.basketball-reference.com/players/w/wadedw01.html
2012-13,31,MIA,NBA,SG,1,1,28:49,10,13,.769,1,2,.500,0,0,,1,3,7,2,2,4,2,21,https://www.basketball-reference.com/players/w/wadedw01.html
2013-14,32,MIA,NBA,SG,1,1,11:41,5,6,.833,0,0,,0,0,,1,1,3,2,0,1,0,10,https://www.basketball-reference.com/players/w/wadedw01.html
2014-15,33,MIA,NBA,SG,,0,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/players/w/wadedw01.html
2015-16,34,MIA,NBA,SG,1,1,22:56,4,7,.571,0,1,.000,0,0,,1,4,6,2,0,3,0,8,https://www.basketball-reference.com/players/w/wadedw01.html
2018-19,37,MIA,NBA,SG,1,0,10:27,2,4,.500,1,2,.500,2,2,1.000,0,2,4,0,0,1,0,7,https://www.basketball-reference.com/players/w/wadedw01.html
2016-17,26,CHO,NBA,PG,1,0,20:15,3,6,.500,1,4,.250,0,0,,1,3,6,1,0,0,0,7,https://www.basketball-reference.com/players/w/walkeke02.html
2017-18,27,CHO,NBA,PG,1,0,14:09,5,10,.500,1,5,.200,0,0,,1,2,1,0,0,0,0,11,https://www.basketball-reference.com/players/w/walkeke02.html
2018-19,28,CHO,NBA,PG,1,1,20:19,2,8,.250,0,5,.000,0,0,,0,1,8,1,0,0,0,4,https://www.basketball-reference.com/players/w/walkeke02.html
2019-20,29,BOS,NBA,PG,1,1,29:10,9,18,.500,5,11,.455,0,0,,1,3,3,1,0,3,1,23,https://www.basketball-reference.com/players/w/walkeke02.html
2013-14,23,WAS,NBA,PG,1,0,15:04,5,7,.714,0,1,.000,2,2,1.000,0,5,4,2,0,3,1,12,https://www.basketball-reference.com/players/w/walljo01.html
2014-15,24,WAS,NBA,PG,1,1,29:17,9,16,.563,1,4,.250,0,0,,0,3,7,2,0,4,1,19,https://www.basketball-reference.com/players/w/walljo01.html
2015-16,25,WAS,NBA,PG,1,0,19:29,10,14,.714,2,2,1.000,0,0,,0,3,3,1,0,2,0,22,https://www.basketball-reference.com/players/w/walljo01.html
2016-17,26,WAS,NBA,PG,1,0,20:58,6,12,.500,0,2,.000,0,0,,1,6,4,4,0,3,1,12,https://www.basketball-reference.com/players/w/walljo01.html
2017-18,27,WAS,NBA,PG,,0,,,,,,,,,,,,,,,,,,,https://www.basketball-reference.com/players/w/walljo01.html
2007-08,27,NOH,NBA,PF,1,0,16:16,3,6,.500,0,0,,0,0,,2,4,1,0,0,1,1,6,https://www.basketball-reference.com/players/w/westda01.html
