Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist., ,2P_% of FGA by Distance,0-3_% of FGA by Distance,3-10_% of FGA by Distance,10-16_% of FGA by Distance,16-3P_% of FGA by Distance,3P_% of FGA by Distance, ,2P_FG% by Distance,0-3_FG% by Distance,3-10_FG% by Distance,10-16_FG% by Distance,16-3P_FG% by Distance,3P_FG% by Distance, ,2P_% of FG Ast'd,3P_% of FG Ast'd, ,%FGA_Dunks,#_Dunks, ,%3PA_Corner 3s,3P%_Corner 3s, ,Att._Heaves,#_Heaves,Player_link
2009-10,24,POR,NBA,PF,6,229,.430,13.3,,.978,.183,.108,.204,.484,.022,,.429,.882,.400,.579,.200,.500,,.641,1.000,,.065,6,,.500,1.000,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2010-11,25,POR,NBA,PF,6,258,.461,10.0,,1.000,.243,.261,.226,.270,.000,,.461,.714,.333,.462,.355,,,.604,,,.087,10,,,,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2013-14,28,POR,NBA,PF,11,441,.452,10.7,,.988,.268,.180,.236,.304,.012,,.449,.627,.356,.407,.382,.667,,.459,.500,,.028,5,,.333,1.000,,1,0,https://www.basketball-reference.com/players/a/aldrila01.html
2014-15,29,POR,NBA,PF,5,208,.330,10.4,,.902,.339,.143,.223,.196,.098,,.337,.500,.188,.240,.273,.273,,.294,1.000,,.018,2,,.182,.000,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2015-16,30,SAS,NBA,PF,10,337,.521,10.3,,.988,.254,.201,.308,.225,.012,,.515,.512,.559,.481,.526,1.000,,.523,1.000,,.012,2,,.500,1.000,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2016-17,31,SAS,NBA,PF,16,537,.458,10.7,,.942,.267,.196,.238,.238,.058,,.478,.719,.489,.368,.316,.143,,.537,1.000,,.063,12,,.500,.000,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2017-18,32,SAS,NBA,C,5,177,.463,9.3,,.938,.213,.275,.300,.150,.063,,.453,.824,.318,.375,.333,.600,,.588,.667,,.013,1,,.200,1.000,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2018-19,33,SAS,NBA,C,7,244,.455,10.5,,.909,.273,.207,.281,.149,.091,,.473,.636,.520,.294,.444,.273,,.596,1.000,,.066,6,,.545,.333,,0,0,https://www.basketball-reference.com/players/a/aldrila01.html
2018-19,23,UTA,NBA,SG,2,14,.286,12.7,,.571,.429,.143,.000,.000,.429,,.500,.333,1.000,,,.000,,.000,,,.000,0,,.333,.000,,0,0,https://www.basketball-reference.com/players/a/allengr01.html
2018-19,20,BRK,NBA,C,5,110,.594,2.0,,1.000,.813,.188,.000,.000,.000,,.594,.692,.167,,,,,.842,,,.469,12,,,,,0,0,https://www.basketball-reference.com/players/a/allenja01.html
2019-20,21,BRK,NBA,C,4,132,.583,4.5,,1.000,.625,.167,.167,.042,.000,,.583,.600,.250,.750,1.000,,,1.000,,,.417,7,,,,,0,0,https://www.basketball-reference.com/players/a/allenja01.html
2011-12,22,PHI,NBA,PF,12,236,.557,10.3,,1.000,.279,.164,.213,.344,.000,,.557,.824,.300,.462,.524,,,.794,,,.066,4,,,,,0,0,https://www.basketball-reference.com/players/a/allenla01.html
2013-14,24,IND,NBA,PF,4,15,.500,11.3,,1.000,.250,.250,.000,.500,.000,,.500,1.000,.000,,.500,,,1.000,,,.000,0,,,,,0,0,https://www.basketball-reference.com/players/a/allenla01.html
2015-16,26,IND,NBA,PF,6,51,.300,7.6,,1.000,.400,.300,.000,.300,.000,,.300,.250,.333,,.333,,,1.000,,,.100,1,,,,,0,0,https://www.basketball-reference.com/players/a/allenla01.html
2016-17,27,IND,NBA,PF,3,11,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,https://www.basketball-reference.com/players/a/allenla01.html
2004-05,23,BOS,NBA,SG,7,90,.444,6.3,,1.000,.444,.278,.167,.111,.000,,.444,.625,.400,.000,.500,,,.500,,,.222,4,,,,,0,0,https://www.basketball-reference.com/players/a/allento01.html
2007-08,26,BOS,NBA,SG,15,65,.563,4.6,,.938,.688,.125,.125,.000,.063,,.600,.727,.500,.000,,.000,,.667,,,.125,2,,.000,,,0,0,https://www.basketball-reference.com/players/a/allento01.html
2008-09,27,BOS,NBA,SG,10,60,.500,4.3,,1.000,.625,.125,.250,.000,.000,,.500,.600,.000,.500,,,,.750,,,.000,0,,,,,0,0,https://www.basketball-reference.com/players/a/allento01.html
2009-10,28,BOS,NBA,SG,24,391,.480,5.3,,.949,.673,.143,.071,.061,.051,,.505,.561,.357,.286,.500,.000,,.787,,,.082,8,,.400,.000,,1,0,https://www.basketball-reference.com/players/a/allento01.html
2010-11,29,MEM,NBA,SG,13,350,.426,7.3,,.931,.505,.188,.089,.149,.069,,.447,.588,.211,.111,.467,.143,,.571,1.000,,.079,8,,.857,.167,,0,0,https://www.basketball-reference.com/players/a/allento01.html
2011-12,30,MEM,NBA,SG,7,170,.400,8.9,,.889,.489,.156,.022,.222,.111,,.450,.591,.143,.000,.400,.000,,.778,,,.044,2,,.600,.000,,0,0,https://www.basketball-reference.com/players/a/allento01.html
2012-13,31,MEM,NBA,SG,15,422,.432,6.8,,.936,.592,.144,.024,.176,.064,,.444,.514,.333,.333,.318,.250,,.500,.500,,.048,6,,.625,.200,,0,0,https://www.basketball-reference.com/players/a/allento01.html
2013-14,32,MEM,NBA,SG,7,230,.486,7.1,,.903,.611,.083,.042,.167,.097,,.538,.614,.333,.667,.333,.000,,.543,,,.042,3,,.714,.000,,0,0,https://www.basketball-reference.com/players/a/allento01.html
2014-15,33,MEM,NBA,SG,10,279,.491,6.5,,.877,.614,.140,.035,.088,.123,,.540,.600,.375,.500,.400,.143,,.741,1.000,,.088,5,,.857,.167,,0,0,https://www.basketball-reference.com/players/a/allento01.html
